"file","categoryname","price","mass","volume","description"
,,,,,
"Admonisher","starships/Confed/Heavy",3000000,275,5600,"A Purist crafted light assault vessel, the Admonisher is often used for internal policing duties by Homeland Security and others within the Confederation.  As might be expected from a vessel used for such purposes, it excels at neutralizing both small craft and their support vessels, a valuable asset in the suppression of Pirates and the dangerous ideologies of the Luddites and ISO."
"Ancestor","starships/Shaper/Light",190000,40,1000,"The 'ancestors' of the Ancestor class have been flying for hundreds of years. This most recent remodelling of the Shaper's aerospace frame has been in service for 15 years, and has seen action several times in assaults on dirtside criminal bases."
"Areus","starships/restricted",1,216,4400,"More a fighter than a bomber, this is the secondary assault craft the Aera rely on, after the Agis. These light assault craft are commonly seen as escorts to the larger, more dangerous Agis class assault corvettes, though it is not uncommon to see wings of Areus detatch to spearhead assaults on subcapitals and support vessels. While larger and not as nimble as fighters or interceptors, the Areus is perfectly well equipped to engage any smaller craft foolish enough to wander near its gun sights. Armament on the Areus isn't well suited to assaulting capital vessels directly, but is entirely sufficient for destroying subcapitals, support craft, or softening up craft too large to destroy outright with the limited payload available. The Areus is almost never seen in defensive operations outside of the aforementioned escort of larger strike forces."
"Ariston","starships/Aera/Heavy",2700000,197,4000,"The Aeran Ascendancy's Ariston class is not the most nimble fighter and is impotent against large vessels, but it is very well armed and armored against small craft. The Ariston is a defensively oriented fighter, flying escort and superiority missions, and never assault. Significant numbers of Aristons will accompany strike missions, but ordinance loads are universily anti-interceptor. Likewise, a reserve of Aristons tends to be kept near capital vessels to launch alongside Nicander class interceptors, so as to engage enemy fighter escorts."
"Clydesdale","starships/restricted",1,29000000,590000000,"The only warship produced at Merchant shipyards, the Clydesdale suffers somewhat from being a truly Confederation designed vessel, with noticeable committee effects. If not posessing unrivaled capabilities, nor visionary design, it is nonetheless a solid, workhorse of a vessel and produced, like all craft rolling off the Merchant shipyards, in some number."
"Convolution","starships/Confed/Medium",760000,62,1280,"Typically used as a light assault craft, the Convolution relies on its heavy energy-weapon firepower rather than missiles to overpower its foes with sequences of strafing runs.  It is an Unadorned design; as befits the faction's name, it is far from an aesthetic marvel, asymmetric and without pretense of beauty, but is well-designed, cost-effective, and the preferred strike craft of a small minority of pilots."
"Derivative","starships/Confed/Medium",800000,134,2700,"An Unadorned missile-based interceptor, the Derivative is commonly deployed as part of Confederate fleets. It can quikly bring to bear a large amount of firepower from its compact, almost skeletal, frame.  Because of this, its mere presence is often enough to make undesireables reconsider their intended courses of action."
"Determinant","starships/Confed/Medium",700000,54,1100,"Solid and reliable, the Unadorned Determinant-class ships can often be seen prowling Confederate space, and have now even proven themselves in skirmishes with Aeran raiders.  Though its popularity is highest among the Unadorned, it remains well-liked by the rest of the Confederation, and others, due to its relatively low cost to produce."
"Dirge","starships/restricted",1,123456789,123456789,"An insystem fighter design, the Dirge is a sturdy, flexible ship that can be fitted with both guns and missiles.  Versatile, balanced, and agile, it is most often seen in the use of its creators, the Shmrn. "
"Dodo","starships/Merchant/Light",75000,1096,22000,"As a cargo tug, quite successful - as a piece of art, quite ugly."
"Dostoevsky","starships/Andolian/Medium",360000,63,1300,"A superiority fighter manufactured in massive numbers by the Andolian Protectorate, the Dostoevsky combines a light, efficient design with immediately palpable firepower.  Though designed to engage other fighters, its ability to carry a torpedo, if only one, broadens the range of targets that must stay wary, especially in the numbers that Dostoevskys tend to appear in."
"Franklin","starships/restricted",1,575,12000,"Andolian diplomatic shuttle"
"Gawain","starships/Confed/Heavy",3200000,40,1000,"A bejeweled sword among more workmanlike interceptors since its introduction three years ago, the Highborn Gawain is an impressively featured and stylish craft.  Magnificently built, it offers an array of features: a number of gun mounts, missile room, and a powerful engine capable of firm acceleration.  It also offers a number of luxuries to the pilot as well, and those that have flown the Gawain consider it an experience to which little can compare.  Like all Highborn vessels, it is known for its durability and reliability even under the worst conditions.  Its features come at a great price, however, and it is one that few can afford.  Perhaps for this reason, there are relatively few Gawains in service, with some buyers opting to requisition several of the much-cheaper Derivative class interceptors instead."
"Goddard","starships/restricted",1,2150,43000,"The Goddard is a heavy bomber of Andolian manufacture, and the current crown jewel of the Confederation's array of small craft.  Created from lessons gleaned from the Aera-Rlaan conflict, the Goddard is a flying fortress, able to weather a considerable amount of punishment.  However, as strong as it is defensively, it is even more impressive offensively.  Its nearly two dozen gun, turrets, and missile mounts allow it to unleash devastation on whatever its target may be."
"GTIO","starships/restricted",1,123456789,123456789,"What happens when you maximize speed and style to the exclusion of everything else?  The GTIO happens.  Simply the best sportship on the market today, the GTIO is a redefinition of power and luxury, and carries a pricetag that reflects that."
"Hammer","starships/Hunter/Heavy",200000,115,2300,"The Hammer assault craft was originally named the 'Toad', a creation of the LIHW.  However, usage of this model by the ISO has made it iconic, to the point where few call it by its original name.  Much larger than the other famous ISO ship, the Sickle, the Hammer  has sometimes been referred to as 'the mighty arm of the proletariat' in ISO propaganda."
"Hyena","starships/Pirate/Light",110000,40,1000,"Like their namesakes from the savannahs of Earth, Hyenas are often seen preferring to engage the damaged, the naive, and the straggler rather than pursuing more solid prey, especially when in the hands of Pirates.  Though they possess neither great speed, nor impressive maneuverability, the Hyenas nonetheless pack enough firepower to give a pilot pause, especially in packs."
"Kafka","starships/restricted",1,123456789,123456789,"While the Merchant's Guild has a well-recognized line of cargo vessels, the Kafka is a simple, cost-effective shuttle that can transport a good amount of cargo.  It is most often found in the more lawful regions of space, usually those inhabited by its designers, the Klk'k."
"Kierkegaard","starships/Confed/Milspec",800000,1800,15000,"Used to near exclusion in anti-capital roles, the Kierkegaard is a missile oriented Andolian gunboat.  Its heavy reliance on missiles, coupled with its modest acceleration curves, makes it much more suited to defensive deployments than spearheading strikeforces.  While it excels at weakening and destroying capital vessels, it has been found wanting when faced with packs of nimble fighters, and must hastily return to friendlier space when its missile supplies run low."
"Lancelot","starships/Confed/Heavy",3800000,170,3500,"A heavy superiority fighter designed by the Highborn, the Lancelot really is superior in almost every sense of the word.  Superbly engineered, even the older Lancelot models seldom have mechanical problems, and the interior, spartan in most other military vessels, is nothing short of luxurious.  The cost, however, as with most Highborn designs, is equally profound."
"Llama","starships/Lauktk",1,1000,20000,"With Lauktk's death, ownership of this vessel has passed on to you."
"Mule","starships/Merchant/Heavy",8000000,28000,570000,"The Mule class is the cargo vessel of choice for anything that does not require the immense load of an Ox class. Mule class vessels are the preferred mode of military supply transport, if only because their abundance makes them easier to replace when they meet unfortunate ends."
"Nicander","starships/Aera/Light",2000000,132,2700,"The preeminent Aeran interceptor, the Nicander is lithe and supports vicious armaments."
"Ox","starships/Merchant/Light_Capship",42000000,1000000,40000000,"A container transport, the Ox is more suited to multi-hop interstellar bulk cargo runs than the smaller mule."
"Pacifier","starships/Confed/Heavy",400000,490,10000,"An aging heavy craft of Purist make, the Pacifier has seen considerable service in the fifty years since its introduction. Though perhaps a bit unwieldy by modern standards, its firepower remains potent.  What it lacks in speed and maneuverability, it makes up for in its versatility, having been among the first vessels to see action in both fighter and bomber roles in defense against the Aeran invasion."
"Plowshare","starships/Merchant/Medium",180000,527,10000,"Lovingly referred to as a 'large brick with engines and guns', the Plowshare is a top of the line Purist cargo shuttle, far more spacious than the aged LIHW Llama, and easier to obtain for private use than the Merchant Reindeer. Much of the non-Merchant's Guild traffic within Purist friendly systems occurs via Plowshares."
"Progeny","starships/Confed/Light",400000,62,1200,"A compact ship originally designed for the Shaper military, the Progeny would seem a natural complement to the Dostoevsky, were they ever both to be deployed by the same group at the same time. Though less suited for close engagements than its fighter counterpart, the Progeny nonetheless brings to bear an impressive array of missiles, and excels at its primary role of interceptor."
"Quicksilver","starships/restricted",1,123456789,123456789,"Sleek and fast, the Quicksilver is often used as a courier ship by the Confederation and its allies.  However, due to this specialization, it is typically unsuitable for combat engagements, and will rely on the robust acceleration of its oversized engine to put a rapidly increasing shield of distance between it and any adversary."
"Redeemer","starships/Luddite/Light",40000,38,800,"The luddites, being by their nature not given to grand industrialization, rely on a small number of hidden facilities and sympathetic manufacturing plants to supply them with ships. The Redeemer bears the distinction of being the only class of spacecraft officially sanctioned by the reverend Sverde, who, when presented with its initial designs 45 years ago, said that prayer had revealed to her that that this was to be the 'shepherds crook' by which man's sins would be constrained. Inexpensive, even at the time of its introduction, the Redeemer remains a utilitarian craft well suited to the production schedules of backwater worlds."
"Robin","starships/Hunter/Medium",75000,42,900,"The avian Robins of Terra were never noted as particularly fierce, and many pilots consider the spacefaring Robins of the LIHW in much the same way.  An aging fighter design, the improvements that the Robin has seen over the years have been largely incremental, focusing on small improvements rather than large overhauls.  Due to the relatively limited resource of the LIHW compared to other constituents of the Confederation, most of the improvements have been in the way of reliability.  Because of this, the Robin is known as an inexpensive vessel that rarely breaks down, and perhaps due to this, it is a common sight in the human-controlled regions of space."
"Sartre","starships/restricted",1,123456789,123456789,"The Sartre is an interplanetary shuttle manufactured by the Klk'k.  It is unarmed, and therefore rarely seen outside the very safest sectors of space. A Sartre is often the only legal method by which one may land directly on many Andolian worlds, due to regulation of private craft to orbital berthing areas."
"Schroedinger","starships/Confed/Light",510000,80,1600,"The Schroedinger serves as a scout ship, lightly armed when compared to most other vessels.  As per the infamous cat, its acceleration curve and advanced ECM and stealth hardware make it difficult to discern whether its in the same state it was last seen in."
"Shizu","starships/Rlaan/Light",250000,57,1140,"The Rlaan Shizu is in many ways similar to its Confederate counterpart, the Schroedinger, meant more for reconaissance and scouting patrols than heavy combat.  Nonetheless, its twin gun mountings allow it to mount a basic defense, should it come under attack."
"Sickle","starships/Hunter/Medium",70000,55,1100,"Like the Hammer, the Sickle is a ship of LIHW design, and was known prior to ISO usage as the 'Goose'. While the Hammer is more feared, the Sickle is more common. By far the most common ship seen in use by the ISO, the Sickle's maneuverability and large missile bays make it a favorite of many Hunters as well."
"Taizong","starships/Rlaan/Heavy",2800000,230,4600,"The Taizong are a mass-produced assault vessel of the Rlaan.  As with other Rlaan vessels, they do not utilize missile armaments, even in their assault role. Their strength lies instead in miniature, if limited, versions of the Jannisary class' grav-thumper weapon, which allow them to ruthlessly cut down almost any sub-capital vessel."
"Vendetta","starships/Hunter/Medium",8800000,230,4600,"Designed by the LTC to exacting Hunter specifications, the Vendetta can be a relentless, if expensive, aid in populating one's trophy walls."
"Vigilance","starships/Confed/Milspec",18500000,4500,50000,"Mass produced by it's Purist manufacturers, the Vigilance has been a common sight patrolling the inner commerce lanes for over a decade. Now these corvettes have begun trickling into the frontier territories to thwart rampant piracy and Aeran incursions. Though lacking the cutting-edge systems and relative mobility of others in it's class, the Vigilance still holds it's own with greater survivability and firepower at a more affordable price."
"Zhuangzong","starships/Rlaan/Milspec",2000000,65,1300,"The backbone of the Rlaan fighter squadrons, the Zhuangzong's four weapon mounts make it deadly at close range, and its maneuverability stats are a dogfighter's dream, even if the linear acceleration is more modest.  Of course, in keeping with the Rlaan disdain for missiles, actually closing to weapons range can be interesting. "
,,,,,
"beam_heavy_lr","upgrades/Weapons/Accelerators",2500000,0.01,1,"@upgrades/beam1.image@The logical conclusion of decades of upscaling work with spatial disruption technology, this weapon finds its home only among the weapons mounted on the capital vessels of well funded space navies."
"flak","upgrades/Weapons/Accelerators",6500,0.01,1,"@upgrades/beam2.image@Like fireworks - only full of razorblades."
"flak_heavy","upgrades/Weapons/Accelerators",9500,0.01,1,"@upgrades/beam3.image@There, there Snowden.... there, there."
"lr_disruptor_beam","upgrades/Weapons/Accelerators",120000,0.01,1,"@upgrades/beam1.image@A variant of the Disruptor Beam, this weapon uses the same functional principals, but is engineered for use at long range. Projecting something that is, in many respects, an extremely long sliver of a shield poses a number of technical difficulties. Long range disruptor beams increase the effective range of the weapon, but at the cost of dramatic reductions to efficiency, damage output, and beam stability alongside a significantly increased physical size. However, for certain applications, such as point-defense emplacements, these trade-offs have been considered more than worthwhile."
"Relativistic_Particle_Beam","upgrades/Weapons/Accelerators",250000,0.01,1,"@upgrades/medium.image@While slinging particles of negligible mass, and in chaste quantities, this weapon does manage to propel them at significant fractions of lightspeed, rendering the particles quite dangerous to encounter."
"photon_capship","upgrades/Weapons/Accelerators/Aera",2500000,0.01,1,"@upgrades/heavy.image@The standard armament of most heavy Aeran vessels, this is a scaled up version of the same PESC type warhead delivery system used in Aeran combat craft."
"rlr_laser_beam","upgrades/Weapons/Accelerators/Aera",150000,0.01,1,"@upgrades/medium.image@A long ranged laser weapon used primarily in Aeran point defence emplacements."
,,,,,
"FS_MWRF_Laser","upgrades/Weapons/Accelerators",20000,0.01,1,"@upgrades/medium.image@Rapid-fire microwave laser: When an enemy vessel has had enough it will go 'ding'. Or, possibly, explode."
"FS_MW_Laser","upgrades/Weapons/Accelerators",20000,0.01,1,"@upgrades/heavy.image@Microwave laser: Caution -- do not stand in front of laser when attempting to defrost chickens."
"FS_IRRF_Laser","upgrades/Weapons/Accelerators",26000,0.01,1,"@upgrades/heavy.image@Rapid-fire infrared laser: Even on the coldest sea, it can still be Hot, Hot, Hot!"
"FS_IR_Laser","upgrades/Weapons/Accelerators",26000,0.01,1,"@upgrades/heavy.image@Infrared laser: When using for grilling, please refrain from putting hands, feet, or population centers in front of the lasing surface."
"Jackhammer","upgrades/Weapons/Accelerators",24000,0.01,1,"@upgrades/beam3.image@The Jackhammer is an open-cycle laser, venting its coolant after every firing sequence. While this does wonders for the size and complexity of the cooling system, it does raise ammunition capacity issues not frequently associated with modern lasers."
"Jackhammer_ammo","upgrades/Weapons/Ammunition",20,0.01,1,"@cargo/halogen_gasses.image@Coolant for the open-cycle Jackhammer laser."
"CS_UVRF_Laser","upgrades/Weapons/Accelerators",75000,0.01,1,"@upgrades/turret_heavy.image@Rapid-fire UV Laser. UV and other higher frequency lasers raise increasing concerns about cooling. Fortunately, UV and higher frequency lasers are effective enough to warrant being built into capital sized mounts that can handle their cooling requirements."
"CS_UV_Laser","upgrades/Weapons/Accelerators",75000,0.01,1,"@upgrades/turret_heavy.image@UV Laser. Unlike most exposures to UV light, taking in these rays decreases the risk of dying from skin cancer."
"CS_XRRF_Laser","upgrades/Weapons/Accelerators",2500000,0.01,1,"@upgrades/turret_heavy.image@Rapid-fire Xaser. Used properly, one can use a Xaser to figure out what the inside of an enemy vessel looks like. The crew, however, tends to cease to have insides at about the same time."
"CS_XR_Laser","upgrades/Weapons/Accelerators",2500000,0.01,1,"@upgrades/turret_heavy.image@Xaser. The X-ray spectrum and lasers are notoriously unfriendly to being combined. That xasers exist at all just goes to show that some relationships can be made to work if there's enough money in it for everyone else involved."
,,,,,
"Particle_Beam","upgrades/Weapons/Accelerators",7500,0.01,1,"@upgrades/medium.image@It has long been known that lightweight, charged particles, while easy to accelerate, suffer greatly from electro-static bloom effects. However, it has also long been known that there's not much in the universe cheaper to obtain than lightweight, charged particles. Still, it's not your great-to-the-Nth-granddaddy's cathode ray tube. (It's a lot bigger than that)."
"Ion_Beam","upgrades/Weapons/Accelerators",16000,0.01,1,"@upgrades/medium.image@Adding a bit more heft to the input stream than what is found in weapons termed particle beams, this weapon nonetheless operates on the same general principles. The electric charge of ionized plasma makes it particularly easy to compress and fire using simple magnetics. Deceptively simple in design, these weapons' cost comes from the inherent difficulty in making a stream of ionized plasma remain coherent _after_ firing. In the last ten years, advances in this field have led to noted increases in the accessibility of ion beam weapons, and to a market glut of cheap knockoff brands."
"Heavy_Ion_Beam","upgrades/Weapons/Accelerators",25000,0.01,1,"@upgrades/heavy.image@A variant of the somewhat more common Ion Beam, these weapons utilizes heavier ions, such as xenon. Heavier ions are more difficult to accelerate to the desired exit velocities, but do not suffer nearly as much from electro-static bloom effects as their lighter counterparts."
"Ion_Burster","upgrades/Weapons/Accelerators",7000,0.01,1,"@upgrades/beam2.image@One of the smallest of the ion weapon family, the Ion Burster, despite a seemingly projectile output, is more closely related to ion beam weapons than to anything else. Indeed, the lower speed and packetized nature of the weapon's output are not so much desirable attributes as concessions: in order to make the weapon small enough to meet design specifications, the beam can only be pulsed, and infrequently at that. To compensate for this disability, the Ion Burster relies on specially prepared vaporization plates, rather than the homogeneous gas-streams ususally feeding Ion weapons."
"Ion_Burster_ammo","upgrades/Weapons/Ammunition",4,0.01,1,"@cargo/halogen_gasses.image@Prepackaged vaporization plates for the Ion Burster gun."
,,,,,
"Disruptor_Beam","upgrades/Weapons/Accelerators",45000,0.01,1,"@upgrades/beam1.image@The canonical example of shield-based weaponry, the disruptor beam is highly effective at disrupting the twisted maze of forces created by a shield generator, but entirely unequipped to trickle damage past a shield until the shield in question has already nearly faltered. Disruptors, just like the shields they share most of their technological lineage with, interact violently with matter, making them poorly suited to use outside of vacuum. Fortunately for those on the receiving end of a disruptor blast, even a shield de-patterned to the point of collapse will mitigate a disruptor's effects on materials beyond the shield. Unfortunately for those on the receiving end of a disruptor, mitigate is not the same as eliminate. Those unfortunate enough to receive disruptor fire with no shield generator at all are usually at least fortunate enough that the shear forces kill them before they can notice. This design is exceptionally popular among adherents to the trekkie religion, but its reliability and effectiveness make it nothing to scoff at."
"Shield_Breaker","upgrades/Weapons/Accelerators",400000,0.01,1,"@upgrades/beam3.image@This Highborn Milspec weapon was designed alongside the Lancelot superiority fighter. If nearly equivalent in fundamental design principles, its implementation and engineering is superior in nearly every respect to the Disruptor Beams it shares a common origin with. In keeping with the naming of the ship it was co-designed with, the Shield Breaker is well suited to render any shield within reach quite humbled in but a small number of lancing blows."
"LR_Disruptor_Beam","upgrades/Weapons/Accelerators",1200000,0.01,1,"@upgrades/heavy.image@A variant of the Disruptor Beam, this weapon uses the same functional principals, but is engineered for use at long range. Projecting something that is, in many respects, an extremely long sliver of a shield poses a number of technical difficulties. Long range disruptor beams increase the effective range of the weapon, but at the cost of dramatic reductions to efficiency, damage output, and beam stability alongside a significantly increased physical size. However, for certain applications, such as point-defense emplacements, these trade-offs have been considered more than worthwhile."
"Ktek_Beam","upgrades/Weapons/Accelerators/Rlaan",1200000,0.01,1,"@upgrades/beam1.image@The Rlaan have studied disruptor based weaponry for far longer than any other extant species, and this is the most common fruit of that research."
"Ktek_Beam_PD","upgrades/Weapons/Accelerators/Rlaan",400000,0.01,1,"@upgrades/beam1.image@A version of the Rlaan Ktek beam repurposed for point defense installations."
"Ktek_Gun","upgrades/Weapons/Accelerators/Rlaan",200000,0.01,1,"@upgrades/beam3.image@Originally developed to break apart debris fields, this medium sized pulsed disruptor weapon is very deadly at close range. However, as the pulses, once disconnected from their generator, move slowly and rapidly decay, this weapon is of questionable value at any significant distance."
