"Additional remarks (names LTT LFT wolf ross etc)",Distance in Parsecs,right ascension in rads,declination in rads,Luminosity in ('Sol's),Spectrum type,Size
Sol,4.83E-06,0.00001,0.00001,1,52,0
LTT 3,13.31041395,0.000436332,-0.584772566,0.000168972,72,0
LTT 20,9.614317673,0.009090257,-0.681318362,0.000585924,73.5,1
LTT 10009 ,204.0824493,0.009890199,0.600044197,1.306188014,52,0
LTT 10010,256.4109064,0.010253809,0.401280284,0.424601711,59,0
,4.545746217,0.010762864,-0.63524167,0.006790372,74,0
,11.50876569,0.011053752,0.794299343,0.012243516,72,1
,196.0792814,0.011853695,0.841248699,0.159941412,55,1
,188.6801286,0.012217305,-1.185020384,0.125879735,65,0
BPM 16002,212.7667408,0.012653637,-0.866846862,0.006544746,75,1
ADS 48AB,11.50876569,0.013235413,0.794764764,0.029643194,66,1
,11.50876569,0.013235413,0.794735675,0.028308966,70.5,0
ADS 61AB,21.5131283,0.015853407,1.015054404,1.076469107,55,0
,21.5131283,0.015853407,1.015054404,0.529646921,58,1
LFT 12,181.8190985,0.015998851,-1.149735645,0.003943501,74,1
,20.71198594,0.01628974,-0.849044503,1.940949059,51,2
,20.71198594,0.01628974,-0.849044503,0.009547746,72,0
,14.25672098,0.017526015,0.501694893,0.619426512,60,0
,4.73490306,0.018398679,-0.108355858,6.08E-05,75,1
,18.70050843,0.020798507,0.505796417,0.000648401,72,0
LTT 47,384.6158179,0.021671172,-0.41716278,0.428530696,60,0
LTT 10037,22.73460772,0.023707389,0.134972129,0.002653833,73.5,1
,212.7667408,0.025670884,0.299265789,0.019050903,70,1
LTT 57,135.1363685,0.025743606,-0.988438133,0.00235435,74,1
,21.65272356,0.026616271,0.634427183,1.342784388,48,2
LTT 10045,106.3845454,0.02763438,0.358926961,0.000376558,72,0
,344.8280695,0.028288878,-0.464228492,0.021277369,72,0
Beta Cassiopeia,14.46240683,0.0283616,1.027533508,22.4939832,42,2
Epsilon Pheonix,15.51463119,0.030034208,-0.802444212,6.026127114,60,2
LTT 74,232.5588562,0.037160969,-0.103643469,0.021277369,72,1
LTT 10057,217.392071,0.037960911,1.013599963,0.066671814,67,1
Viln 82,161.2913559,0.038033633,-0.248854863,2.512,47,0
,500.0003333,0.039488074,-1.026457222,0.990831497,54,0
LTT 79,227.2734606,0.040142573,-0.603651211,3.564733737,44,0
,11.04048951,0.04217879,0.875340798,0.000190466,38,1
LTT 10070,20.16955936,0.045524005,1.205208026,0.00210799,74,1
,20.16955936,0.045524005,1.205208026,0.001513079,72,0
LTT 17095 ,163.9354429,0.046542113,1.403012008,0.008315682,71.5,1
B LP 12-304,163.9354429,0.04712389,1.402982919,2.63E-05,72,0
LP 704-001,19.69350859,0.051050881,-0.219009732,0.000147167,72,0
Hei 299,5.330998207,0.056214146,-0.272184097,0.000376558,74,1
GR 4,178.5723619,0.057159533,-0.522813377,0.000524613,73.4,1
LP 462-42,11.60188136,0.057595865,0.231663369,0.001086062,73.5,1
LFT 24,200.0008333,0.058613974,-1.182053325,0.014585116,72,0
LFT 25,200.0008333,0.057959476,-1.18216968,0.003466405,72,0
LTT 123 ,156.2510667,0.059123028,-0.828420529,0.005150954,75,1
LP 404-61 ,15.27809771,0.059341195,0.341968178,0.002511148,74,1
LP 404-62,15.27809771,0.059486639,0.342026356,0.001046776,74.5,1
LTT 10091,23.10190647,0.060068415,0.272998584,0.000549338,72,0
LTT 127,192.308559,0.060795636,-1.394023562,0.724424497,56,0
LTT 10097 ,222.2229722,0.062613687,0.345342481,0.001330022,72,0
LTT 10099,17.67728138,0.062686409,0.084735735,0.000831474,72,0
,14.84803454,0.062831853,-0.89131056,0.353165127,52,0
,14.09634734,0.062977297,0.709825407,0.043244716,70.5,1
LFT 29,196.0792814,0.064068128,0.504400154,0.008014882,72,1
LTT 137,21.4669961,0.065013515,-0.156788744,0.004053989,70,1
LTT 141,27.32850533,0.065958901,-0.122842091,0.025817967,70,1
LTT 146,256.4109064,0.067049732,-0.31084314,0.002991411,72,0
LTT 145,238.0959381,0.067267898,-0.214093722,1.235960286,52,0
GX Andromeda,3.502957421,0.067704231,0.763407015,0.006079827,72,0
GQ Andromeda,3.502957421,0.067704231,0.763407015,0.00039069,76,0
,27.86113744,0.068504173,0.173223928,0.02937141,70,1
,19.46382223,0.070322224,-0.133895842,0.870957683,55,2
LTT 10112,192.308559,0.070976723,0.480634587,0.000920134,72,0
,217.392071,0.072212998,-0.170373224,0.043644874,67,0
Zeta Tucanae,7.217463598,0.076285433,-1.131526043,0.920445826,49,0
BPM 70147,243.9031224,0.076794487,-0.290800942,0.010962353,71,1
LP 292-67,12.52897115,0.077667152,0.572846149,5.20E-05,76,1
,20.12901007,0.082321363,-0.802647834,0.024429854,71,1
LTT 183,169.4925088,0.08399397,-0.796626448,0.003161384,73,1
LP 149-56,222.2229722,0.084066692,0.854047781,0.003132399,72,0
BPM 46239,144.9286862,0.084866635,-0.529125652,0.006308005,72,1
,238.0959381,0.085593855,0.738943316,0.00012354,72,0
LTT 190,256.4109064,0.086684686,-0.465915644,0.272880382,63,0
BS 88,188.6801286,0.08857546,-0.200945575,0.870957683,52,0
LP 12-361,15.70920882,0.090248067,1.342361817,0.00648474,72,0
LP 12-362,15.70920882,0.090393511,1.342390905,0.000549338,72,0
LTT 198,232.5588562,0.090611677,-0.568162849,0.148579658,63,1
LTT 197,181.8190985,0.090902565,-0.88712177,0.005103728,74,1
,16.37679988,0.091048009,0.419315353,0.000456916,72,0
,192.308559,0.095484054,-0.465915644,0.218759843,63,0
,18.87676076,0.095629499,0.519468163,0.000474064,72,0
,7.55229944,0.096865773,-0.463675805,3.34E-05,75.5,1
LTT 10142,188.6801286,0.099265601,0.394735299,0.00060234,72,0
Beta Hydrus,6.460979592,0.10101093,-1.334566013,2.729112271,52,2
Kappa Pheonix,14.05681751,0.103628924,-0.733794595,4.571222891,37,0
,18.39142274,0.104719755,1.21943246,0.01819343,70,1
,21.23927454,0.10631964,0.862628983,0.000779556,72,0
,13.38145877,0.114028178,-0.088488193,0.002069513,74,1
,131.580214,0.1141009,0.874380866,0.000831474,72,0
,16.24403745,0.126681815,-0.102421738,0.001819137,72,0
V547 Cassiopeia ,9.957144337,0.127990812,1.168730645,0.006079827,72.5,1
,9.957144337,0.127990812,1.168730645,0.000954667,73.5,1
LP 645-46,23.20904104,0.129008921,-0.049247374,5.44E-05,72,0
LTT 288,29.1602364,0.130608806,-1.093186977,0.105670093,67,1
LP 525-39,116.2805031,0.130899694,0.125954594,0.000981414,72,0
BS 136,20.92847088,0.132935911,-1.094205086,1.905521023,30,0
,20.92847088,0.132935911,-1.094205086,1.513592042,72,0
LP 28-158,19.81039937,0.137444679,1.237874772,0.001330022,72,0
LTT 10192,500.0003333,0.138390065,0.831474856,2.443537712,48,1
,20.41633222,0.13998995,-0.896226571,2.187845701,43,2
BS 142,16.29688279,0.142535222,-0.037204602,1.270589041,46,0
,16.29688279,0.142535222,-0.037204602,0.660680006,51,0
,15.63567177,0.145153216,0.178139939,0.000158421,72,0
,250.0006667,0.14529866,-0.832958386,3.404286595,46,0
,172.4147598,0.145880437,0.789616042,0.005344271,72,1
,217.392071,0.147553044,0.150098316,0.293747301,55,1
,303.030853,0.149371095,-0.84814275,1.541733213,53,0
,303.030853,0.146898545,-0.848200928,0.359731282,60,0
ADS 520,13.88164948,0.151770923,-0.435605092,0.53949428,57,0
,13.88164948,0.151770923,-0.435605092,0.457070624,58,0
,161.2913559,0.152425421,-0.363581172,0.000349808,37,1
,227.2734606,0.154752527,0.908618409,0.028835295,70,1
,204.0824493,0.156206968,0.893434044,0.003310383,72,0
,12.59187613,0.158025019,0.529561984,0.005198618,74,1
Wolf 10,256.4109064,0.159988515,1.052113562,0.004206137,72,0
,10.53111385,0.160352125,0.366199166,0.440537137,60,0
,232.5588562,0.163915506,-0.758781892,0.012939197,70.5,1
LTT 357,24.94434045,0.165951723,-0.417599112,1.870739653,53,0
,17.10377099,0.166097167,0.696764526,0.288385548,62,0
,17.64613785,0.166242611,-1.016916089,1.180330241,51,0
,188.6801286,0.166969832,0.543030108,0.000911698,72,0
,23.10190647,0.167842496,0.969704932,0.001147772,72,0
,23.10190647,0.167915218,0.969734021,0.001086062,72,0
,9.937454857,0.170024158,-0.373151394,0.000131768,72,0
BPM 46556,222.2229722,0.170533212,-0.560279779,0.024655912,72,0
,21.8894566,0.173442094,-0.896372015,0.005494005,72,0
BPM 46562,185.1860852,0.174023871,-0.611010682,0.002605392,72,0
FF Andromeda,21.19430939,0.174896535,0.615635805,0.023983937,70,1
,18.2906555,0.178314472,0.586023385,0.093745307,65,1
,19.27647546,0.17860536,0.49192105,0.000501,72,0
,23.64771341,0.179041692,0.412159503,0.01994879,70,1
Beta Ceti,18.35771034,0.179259859,-0.309621409,44.88291889,61,2
LFT 69,99.01158434,0.179259859,-0.70581115,0.000501,74,1
LTT 10255,208.3341333,0.181514242,1.320603379,0.501170239,58,1
LP 465-77,181.8190985,0.181950575,0.215489985,0.002207342,72,0
LTT 10257,123.4581401,0.181950575,0.154519816,0.00041671,72,0
LTT 410,357.1433238,0.183114127,-0.439968416,0.847220519,55,0
,243.9031224,0.183768626,-0.327714656,0.025346714,72,1
B LP 766-10,243.9031224,0.183623182,-0.327627389,0.000151291,72,0
,21.60599074,0.184423124,-0.379085514,3.162456379,42,0
,138.8900889,0.185368511,-0.252403699,0.000346601,72,0
,196.0792814,0.185513955,0.026529005,0.208913555,62,0
LTT 416,204.0824493,0.185586677,-1.11852334,0.879016953,53,0
LTT 421,200.0008333,0.18747745,-0.22424572,1.213400371,50,0
BPM 16228,232.5588562,0.188495559,-0.874409955,0.008089046,73,1
,12.29858945,0.189440946,-0.729867604,0.057008411,65,0
,12.29858945,0.189440946,-0.729867604,0.031327531,67,0
BS  209,20.79803962,0.189440946,-0.805876693,1.819754336,55,2
LTT 442,250.0006667,0.193949713,-0.446629756,0.001379938,73,1
,185.1860852,0.1948951,-0.38781216,0.000519803,72,0
LTT 449,24.57680921,0.196931317,-0.642135721,0.380171348,47,1
L 938-2 ,24.57680921,0.196858595,-0.641873921,0.000346601,72,0
,7.381050628,0.199622033,0.087673706,0.237667265,62,0
Eta Cassiopeia,5.966402084,0.20093103,1.004466073,1.282346236,53,0
,5.966402084,0.20093103,1.004466073,0.030473728,67,0
LTT 17156,232.5588562,0.201149196,0.466875575,0.005494005,74,1
LP 193-584,185.1860852,0.201440085,0.773326303,0.001785933,72,0
,181.8190985,0.202240027,0.290975475,2.704090397,48,0
van Maanen 2,4.369603224,0.202967248,0.089942634,0.000181893,72,0
LTT 464,208.3341333,0.203839912,-0.86542151,0.018876235,72,1
,16.01042142,0.204858021,-0.392931792,0.304771723,59,0
LTT 471,217.392071,0.206385184,-1.059502122,0.005647934,76,1
Phi(2) Ceti,16.19153436,0.207766903,-0.158592251,1.958909325,47,2
LTT 10301,140.8462538,0.208857734,0.428391065,0.001379938,72,0
LP 350-19,140.8462538,0.208857734,0.428391065,0.00079405,72,0
,500.0003333,0.209003178,-0.45884706,0.313310724,33,1
Wolf 33,18.70050843,0.211112117,1.012727298,0.016440402,72,1
,208.3341333,0.212566558,0.322391402,0.075848155,66,1
,476.1908262,0.213511945,-0.459748814,0.135505646,60,1
,14.46240683,0.214093722,-0.398284135,0.047417102,65,0
B LP 826-170,14.46240683,0.214239166,-0.398313224,2.19E-05,72,0
,131.580214,0.218457045,1.06203285,1.78653846,48,0
Sm 177,238.0959381,0.218602489,-0.706567459,0.00839263,73,1
,144.9286862,0.220638706,-0.51263229,0.248868741,63,0
ADS  737,18.77061236,0.22289309,1.200379282,0.041680437,50,1
,18.77061236,0.223038534,1.200379282,0.021873512,72,0
,312.5005333,0.228274522,0.41594105,0.946234595,55,1
L 220-80,16.24403745,0.231983346,-0.905680438,0.002605392,72,0
LTT 524,232.5588562,0.232710567,-0.179158048,0.000373106,37,1
RGO 8,250.0006667,0.232928733,-0.489593944,0.08789176,65,0
LTT 10329,270.2708869,0.234310452,1.200379282,0.145867642,64,0
,22.78636159,0.235183117,-0.481565429,0.01819343,72,0
,17.43117313,0.235474005,0.300080276,0.000870662,72,0
,14.29738763,0.239110108,-0.033452144,0.029102118,61,1
L 123-59,16.70447833,0.240709993,-1.073086602,0.038364584,67,0
,13.95895857,0.244200651,-0.486568707,0.003310383,73.5,1
,17.28081094,0.250600192,-0.421322481,0.028835295,50,1
,19.69350859,0.251327412,0.312937535,0.380171348,55,1
LP 51-17,222.2229722,0.251472856,1.163785545,0.002088663,72,0
LTT 565,370.3708204,0.252418243,-0.420915238,0.124725607,62,1
,20.04839924,0.253945406,-0.437990376,0.031617416,60,1
,10.83792618,0.254018128,1.066541617,0.004741174,72.5,1
,166.6676667,0.254527183,-0.057159533,0.001137249,72,0
,8.67728866,0.2565634,1.246455974,0.006308005,73.5,1
,24.88232315,0.257726953,1.428261105,0.218759843,52,1
,151.5162515,0.257726953,0.940965177,0.000181893,72,0
,11.79272492,0.259181394,-0.451080345,0.015132499,40,0
Wolf 46,8.899789135,0.25939956,1.083413133,0.010277853,65,0
,344.8280695,0.25939956,-0.17194402,0.065454857,65,0
RGO 2913,23.87333321,0.259545004,-0.453232918,0.008707608,72,0
LTT 10369,232.5588562,0.260926723,0.083601271,0.246586987,60,1
U 15,204.0824493,0.261363055,-0.162606509,0.034988758,67,0
Wolf 47,9.035642441,0.262381164,1.083791288,0.000244243,75,1
LP 294-40,227.2734606,0.263835605,0.548295185,0.001569865,72,0
LP 406-76,17.10377099,0.264126493,0.346098791,0.004486263,71.5,1
LP 406-77,17.10377099,0.264126493,0.346098791,0.002883204,73.5,1
,21.37532336,0.26718082,0.083863071,0.001037179,36,1
LTT 606,285.714869,0.270453312,-0.421177037,0.08549635,65,0
,10.01668613,0.272053197,-0.307207037,0.000143157,72,0
LTT 610,23.75998724,0.272125919,-0.667617528,0.401772827,53,2
,12.57609055,0.273943971,0.49264827,0.000165888,72,0
,14.89215828,0.27816185,1.111251135,0.04919668,67,0
,15.78344229,0.279470846,0.261944832,0.005806177,72,0
,21.2844311,0.281797952,-0.885609151,0.113750591,61,0
L 509-35,238.0959381,0.283034227,-0.546404411,0.024429854,72,0
Mu Cassiopeia,7.457408306,0.283325115,0.954258769,0.413029575,55,0
,7.457408306,0.283325115,0.954258769,0.001379938,72,0
Ross 322,22.47932849,0.283325115,0.592277482,0.002013111,73,1
,212.7667408,0.283325115,0.396102474,0.17059343,64,0
,212.7667408,0.283325115,0.396102474,0.001431728,73,1
,131.580214,0.28739755,-0.504894664,0.000648401,75,1
,322.5811618,0.288052049,0.296444173,0.054442487,66,1
Eta Ceti,24.63730984,0.288270215,-0.166737121,22.08340177,61.5,2
LTT 646,476.1908262,0.290524598,-0.537648676,0.452879971,60,0
PS 130,192.308559,0.291397263,-0.402182037,0.0035965,72,1
PS 131,153.8472372,0.291833595,-0.405410896,0.00032198,72,0
Beta Andromeda,20.54199982,0.291979039,0.617090246,55.47350525,70,2
,8.291483009,0.299178523,-1.156833317,0.007176204,72,0
LP 467-16,84.74772941,0.300051187,0.264853714,0.000112669,72,0
LTT 10438,15.49064807,0.302451015,0.081332343,0.001458347,72,0
