Additional remarks (names LTT LFT wolf ross etc),Distance in Parsecs,right ascension in rads,declination in rads,Luminosity in ('Sol's),Spectrum type,Size
,2250,2.44,0,0,85,1
Sol,4.83E-06,0.00001,0.00001,1,52,0
LTT 3,13.31041395,0.000436332,-0.584772566,0.000168972,72,0
LTT 20,9.614317673,0.009090257,-0.681318362,0.000585924,73.5,1
LTT 10009 ,204.0824493,0.009890199,0.600044197,1.306188014,52,0
LTT 10010,256.4109064,0.010253809,0.401280284,0.424601711,59,0
,4.545746217,0.010762864,-0.63524167,0.006790372,74,0
,11.50876569,0.011053752,0.794299343,0.012243516,72,1
,196.0792814,0.011853695,0.841248699,0.159941412,55,1
,188.6801286,0.012217305,-1.185020384,0.125879735,65,0
BPM 16002,212.7667408,0.012653637,-0.866846862,0.006544746,75,1
ADS 48AB,11.50876569,0.013235413,0.794764764,0.029643194,66,1
,11.50876569,0.013235413,0.794735675,0.028308966,70.5,0
ADS 61AB,21.5131283,0.015853407,1.015054404,1.076469107,55,0
,21.5131283,0.015853407,1.015054404,0.529646921,58,1
LFT 12,181.8190985,0.015998851,-1.149735645,0.003943501,74,1
,20.71198594,0.01628974,-0.849044503,1.940949059,51,2
,20.71198594,0.01628974,-0.849044503,0.009547746,72,0
,14.25672098,0.017526015,0.501694893,0.619426512,60,0
,4.73490306,0.018398679,-0.108355858,6.08E-05,75,1
,18.70050843,0.020798507,0.505796417,0.000648401,72,0
LTT 47,384.6158179,0.021671172,-0.41716278,0.428530696,60,0
LTT 10037,22.73460772,0.023707389,0.134972129,0.002653833,73.5,1
,212.7667408,0.025670884,0.299265789,0.019050903,70,1
LTT 57,135.1363685,0.025743606,-0.988438133,0.00235435,74,1
,21.65272356,0.026616271,0.634427183,1.342784388,48,2
LTT 10045,106.3845454,0.02763438,0.358926961,0.000376558,72,0
,344.8280695,0.028288878,-0.464228492,0.021277369,72,0
Beta Cassiopeia,14.46240683,0.0283616,1.027533508,22.4939832,42,2
Epsilon Pheonix,15.51463119,0.030034208,-0.802444212,6.026127114,60,2
LTT 74,232.5588562,0.037160969,-0.103643469,0.021277369,72,1
LTT 10057,217.392071,0.037960911,1.013599963,0.066671814,67,1
Viln 82,161.2913559,0.038033633,-0.248854863,2.512,47,0
,500.0003333,0.039488074,-1.026457222,0.990831497,54,0
LTT 79,227.2734606,0.040142573,-0.603651211,3.564733737,44,0
,11.04048951,0.04217879,0.875340798,0.000190466,38,1
LTT 10070,20.16955936,0.045524005,1.205208026,0.00210799,74,1
,20.16955936,0.045524005,1.205208026,0.001513079,72,0
LTT 17095 ,163.9354429,0.046542113,1.403012008,0.008315682,71.5,1
B LP 12-304,163.9354429,0.04712389,1.402982919,2.63E-05,72,0
LP 704-001,19.69350859,0.051050881,-0.219009732,0.000147167,72,0
Hei 299,5.330998207,0.056214146,-0.272184097,0.000376558,74,1
GR 4,178.5723619,0.057159533,-0.522813377,0.000524613,73.4,1
LP 462-42,11.60188136,0.057595865,0.231663369,0.001086062,73.5,1
LFT 24,200.0008333,0.058613974,-1.182053325,0.014585116,72,0
LFT 25,200.0008333,0.057959476,-1.18216968,0.003466405,72,0
LTT 123 ,156.2510667,0.059123028,-0.828420529,0.005150954,75,1
LP 404-61 ,15.27809771,0.059341195,0.341968178,0.002511148,74,1
LP 404-62,15.27809771,0.059486639,0.342026356,0.001046776,74.5,1
LTT 10091,23.10190647,0.060068415,0.272998584,0.000549338,72,0
LTT 127,192.308559,0.060795636,-1.394023562,0.724424497,56,0
LTT 10097 ,222.2229722,0.062613687,0.345342481,0.001330022,72,0
LTT 10099,17.67728138,0.062686409,0.084735735,0.000831474,72,0
,14.84803454,0.062831853,-0.89131056,0.353165127,52,0
,14.09634734,0.062977297,0.709825407,0.043244716,70.5,1
LFT 29,196.0792814,0.064068128,0.504400154,0.008014882,72,1
LTT 137,21.4669961,0.065013515,-0.156788744,0.004053989,70,1
LTT 141,27.32850533,0.065958901,-0.122842091,0.025817967,70,1
LTT 146,256.4109064,0.067049732,-0.31084314,0.002991411,72,0
LTT 145,238.0959381,0.067267898,-0.214093722,1.235960286,52,0
GX Andromeda,3.502957421,0.067704231,0.763407015,0.006079827,72,0
GQ Andromeda,3.502957421,0.067704231,0.763407015,0.00039069,76,0
,27.86113744,0.068504173,0.173223928,0.02937141,70,1
,19.46382223,0.070322224,-0.133895842,0.870957683,55,2
LTT 10112,192.308559,0.070976723,0.480634587,0.000920134,72,0
,217.392071,0.072212998,-0.170373224,0.043644874,67,0
Zeta Tucanae,7.217463598,0.076285433,-1.131526043,0.920445826,49,0
BPM 70147,243.9031224,0.076794487,-0.290800942,0.010962353,71,1
LP 292-67,12.52897115,0.077667152,0.572846149,5.20E-05,76,1
,20.12901007,0.082321363,-0.802647834,0.024429854,71,1
LTT 183,169.4925088,0.08399397,-0.796626448,0.003161384,73,1
LP 149-56,222.2229722,0.084066692,0.854047781,0.003132399,72,0
BPM 46239,144.9286862,0.084866635,-0.529125652,0.006308005,72,1
,238.0959381,0.085593855,0.738943316,0.00012354,72,0
LTT 190,256.4109064,0.086684686,-0.465915644,0.272880382,63,0
BS 88,188.6801286,0.08857546,-0.200945575,0.870957683,52,0
LP 12-361,15.70920882,0.090248067,1.342361817,0.00648474,72,0
LP 12-362,15.70920882,0.090393511,1.342390905,0.000549338,72,0
LTT 198,232.5588562,0.090611677,-0.568162849,0.148579658,63,1
LTT 197,181.8190985,0.090902565,-0.88712177,0.005103728,74,1
,16.37679988,0.091048009,0.419315353,0.000456916,72,0
,192.308559,0.095484054,-0.465915644,0.218759843,63,0
,18.87676076,0.095629499,0.519468163,0.000474064,72,0
,7.55229944,0.096865773,-0.463675805,3.34E-05,75.5,1
LTT 10142,188.6801286,0.099265601,0.394735299,0.00060234,72,0
Beta Hydrus,6.460979592,0.10101093,-1.334566013,2.729112271,52,2
Kappa Pheonix,14.05681751,0.103628924,-0.733794595,4.571222891,37,0
,18.39142274,0.104719755,1.21943246,0.01819343,70,1
,21.23927454,0.10631964,0.862628983,0.000779556,72,0
,13.38145877,0.114028178,-0.088488193,0.002069513,74,1
,131.580214,0.1141009,0.874380866,0.000831474,72,0
,16.24403745,0.126681815,-0.102421738,0.001819137,72,0
V547 Cassiopeia ,9.957144337,0.127990812,1.168730645,0.006079827,72.5,1
,9.957144337,0.127990812,1.168730645,0.000954667,73.5,1
LP 645-46,23.20904104,0.129008921,-0.049247374,5.44E-05,72,0
LTT 288,29.1602364,0.130608806,-1.093186977,0.105670093,67,1
LP 525-39,116.2805031,0.130899694,0.125954594,0.000981414,72,0
BS 136,20.92847088,0.132935911,-1.094205086,1.905521023,30,0
,20.92847088,0.132935911,-1.094205086,1.513592042,72,0
LP 28-158,19.81039937,0.137444679,1.237874772,0.001330022,72,0
LTT 10192,500.0003333,0.138390065,0.831474856,2.443537712,48,1
,20.41633222,0.13998995,-0.896226571,2.187845701,43,2
BS 142,16.29688279,0.142535222,-0.037204602,1.270589041,46,0
