Identifier,Components,reliability of distance,Rt. Asc. Hours,Rt. Asc. Minutes,Rt. Asc. Seconds,Declination degrees,Declination seconds,total proper motion arcseconds per year,direction angle of proper motion,radial velocity (km/sec),remark,Spectral type / color class,selected sources,apparent magnitude,code,joint magnitude,b-v color,code,joint color,u-b color,code,joint color,r-i color,code,joint color,trigonometric parallax,std. Err. Of trig. Parallax,resulting parallax,std err of resulting parallax,code,absolute visual magnitude M(V),code (from 74),code (from 75),quality of absolute magnitude,U space velocity component in the galactic plane and directed to the galactic center,V space velocity component in the galactic plane and in the direction of galactic rotation,W space velocity component perpendicular to the plane and in the direction of the galactic north pole,HD number,Durchmusterung number,Giclas number,LHS number,Number according to code in 179,"Additional remarks (names, LTT, LFT, wolf, ross, etc)",Distance in Parsecs,ra in rads,dec in rads,Luminosity in (SOLs)
Sun,,,,,,,,,,,,G2 V,,-26.72,,,0.65,,,0.1,,,,,,,,,,,4.85,,,a,0,0,0,,,,,D,Sol,4.83E-06,0.00001,0.00001,1,52,0
NN,,,0,0,6,-34,29.7,0.758,168.6,,,DC9,,14.9,,,0.46,,,-0.44,,,,,,752,70,752,70,,14.28,,,c,,,,,,G267-018,1008,W406,LTT 3,13.31041395,0.000436332,-0.584772566,0.000168972,72,0
GJ 1001,,,0,2,5,-40,57.8,1.618,154.5,-3,,M3.5,K,12.84,,,1.63,,,1.3,,,1.23,,,1042,138,1042,138,,12.93,,,c,-1,-73,12,,,,102,,LTT 20,9.614317673,0.009090257,-0.681318362,0.000585924,73.5,1
NN,,q,0,2,16,34,22.8,0.776,83,6.4,VAR,G2 V,,6.11,,,0.62,,,0.09,,,,,,298,107,49,4,s,4.56,,,b,-70,-26,-8,225239,BD+33  4828,,1013,,LTT 10009 ,204.0824493,0.009890199,0.600044197,1.306188014,52,0
NN,,,0,2,21,22,59.5,0.38,91.5,,,G9 V,,7.82,,,0.74,,,0.29,,,0.33,,,,,39,7,r,5.78,,,d,,,,225261,BD+22  4950,G130-040,,,LTT 10010,256.4109064,0.010253809,0.401280284,0.424601711,59,0
Gl   1,,,0,2,28,-37,36.2,6.097,112.5,22.9,,M4 V,,8.54,,,1.46,,,0.96,,,0.92,,,2218,77,2218,77,,10.27,,,a,-78,-101,-35,225213,CD-37 154920,G267-025,1,,,4.545746217,0.010762864,-0.63524167,0.006790372,74,0
Gl   2,,,0,2,32,45,30.6,0.894,100.5,0.1,,dM2  e,W,9.93,,,1.49,,,1.18,,,0.85,,,870,38,870,38,,9.63,,,a,-39,-23,-17,,BD+44  45480,G171-039,1014,V216,,11.50876569,0.011053752,0.794299343,0.012243516,72,1
NN,,,0,2,43,48,12,0.009,305.5,,,G5,,8.3,,,,,,,,,,,,,,51,5,o,6.84,,,c,,,,15,BD+47  4377,,,,,196.0792814,0.011853695,0.841248699,0.159941412,55,1
Gl   3,,,0,2,48,-68,6.2,0.582,190.7,41,,K5 V,,8.48,,,1.06,,,1.03,,,0.42,,,725,182,53,8,r,7.1,,,d,39,-54,3,55,CP-68  35970,,1015,U001,,188.6801286,0.012217305,-1.185020384,0.125879735,65,0
NN,,,0,2,54,-50,20,0.167,276,,,M5,S,11.95,,,1.5,,,,,,0.95,t,,,,47,10,r,10.31,,,d,,,,,,,,,BPM 16002,212.7667408,0.012653637,-0.866846862,0.006544746,75,1
Gl   4,A,,0,3,2,45,32.2,0.839,101.8,0,SB,dK6  e,W,8.97,,,1.44,,,1.21,,,0.71,,J,870,38,870,38,,8.67,,,a,-36,-22,-17,38,BD+45  44082,G171-040,1016,V217,ADS 48AB,11.50876569,0.013235413,0.794764764,0.029643194,66,1
Gl   4,B,,0,3,2,45,32.1,0.885,98.3,0.1,,M0.5 V,,9.02,,,1.45,,,1.2,,,,,,870,38,870,38,,8.72,,,a,-40,-23,-15,,BD+45  44081,,1017,,,11.50876569,0.013235413,0.794735675,0.028308966,70.5,0
Gl   4.1,A,,0,3,38,58,9.5,0.26,76.7,-11.6,,G5 V,,6.43,c,,0.64,c,,0.11,c,,,,,465,58,465,58,,4.77,c,,c,-18,-22,2,123,BD+57  28652,G243-013,,,ADS 61AB,21.5131283,0.015853407,1.015054404,1.076469107,55,0
Gl   4.1,B,,0,3,38,58,9.5,0.26,76.7,-16,,dG8,W,7.2,c,,0.78,c,,0.33,c,,,,,465,58,465,58,,5.54,c,,c,-16,-26,3,,BD+57  28653,,,,,21.5131283,0.015853407,1.015054404,0.529646921,58,1
NN,,,0,3,40,-66,7.5,0.593,160.6,,,M4,S,12.16,,,1.55,,,,,,1.04,,,,,55,11,r,10.86,,,d,,,,,,,1019,,LFT 12,181.8190985,0.015998851,-1.149735645,0.003943501,74,1
Gl   4.2,A,,0,3,44,-49,21.2,0.592,93.9,2.6,,G1 IV,,5.71,,,0.52,,,0.03,,,0.17,,,483,82,483,82,,4.13,,,d,-48,-31,-11,142,CD-49 143371,,1020,,,20.71198594,0.01628974,-0.849044503,1.940949059,51,2
Gl   4.2,B,,0,3,44,-49,21.2,0.592,93.9,,,,,11.5,*,,,,,,,,,,,483,82,483,82,,9.9,*,,d,,,,,CD-49 143372,,1021,,,20.71198594,0.01628974,-0.849044503,0.009547746,72,0
Gl   5,,,0,4,1,28,44.7,0.422,114.1,-5.5,,K0 Ve,,6.14,,,0.75,,,0.33,,,,,,702,90,702,90,,5.37,,,c,-17,-21,-11,166,BD+28  47041,,,,,14.25672098,0.017526015,0.501694893,0.619426512,60,0
GJ 1002,,,0,4,13,-7,47.5,2.041,203.6,-42,,M5-5.5,,13.75,,,1.98,,,1.6,:,,1.63,,,2128,33,2128,33,,15.39,,,a,37,-41,28,,,G158-027,2,,,4.73490306,0.018398679,-0.108355858,6.07845E-05,75,1
GJ 1003,,s,0,4,46,28,58.8,1.89,127.2,,,m,,14.18,,,1.49,,,1.4,,,1.14,,,535,27,535,27,,12.82,,,b,,,,,,G130-043,103,,,18.70050843,0.020798507,0.505796417,0.000648401,72,0
Wo 9003,,s,0,4,58,-24,5.9,0.348,77.5,-46,,K0 V,,8.7,,,0.8,,,0.35,,,,,,392,136,26,4,r,5.77,,,d,-66,-23,36,283,CD-24     80,G266-048,,,LTT 47,384.6158179,0.021671172,-0.41716278,0.428530696,60,0
NN,,s,0,5,26,7,44,0.546,222.4,,,M3.5,K,13.07,,,1.52,,,,,,1.04,,,440,94,440,94,,11.29,,,d,,,,,,G030-045,1022,,LTT 10037,22.73460772,0.023707389,0.134972129,0.002653833,73.5,1
NN,,,0,5,53,17,8.8,0.105,238.3,,,dM0,M,10.79,,,1.47,,,,,,0.75,,,,,47,8,r,9.15,,,d,,,,,,,,V351,,212.7667408,0.025670884,0.299265789,0.019050903,70,1
NN,,,0,5,54,-57,22,0.368,264,,,M4,S,12.07,,,1.54,,,,,,1.13,t,,,,74,16,r,11.42,,,d,,,,,,,,,LTT 57,135.1363685,0.025743606,-0.988438133,0.00235435,74,1
Gl   6,,,0,6,6,36,21,0.167,222.2,-15.2,,F8 IV,,6.21,,,0.49,,,-0.06,:,,,,,462,68,462,68,,4.53,,,d,20,-11,-3,400,BD+35     80,,,,,21.65272356,0.026616271,0.634427183,1.342784388,48,2
NN,,,0,6,20,20,33.9,0.244,194,,,m,,13.54,,,,,,,,,1.36,,,,,94,14,r,13.41,,,d,,,,,,G131-026,,,LTT 10045,106.3845454,0.02763438,0.358926961,0.000376558,72,0
Gl   7,,s,0,6,29,-27,24.1,0.683,83.7,,,m,,11.72,,,1.5,,,1.15,,,0.72,,,563,264,29,5,r,9.03,,,d,,,,,CD-27    160,G266-057,1026,,,344.8280695,0.028288878,-0.464228492,0.021277369,72,0
Gl   8,,,0,6,30,58,52.4,0.553,108.4,11.3,SB?,F2 III-IV,,2.27,,,0.34,,,0.11,,,,,,692,70,692,70,,1.47,,,c,-34,-6,-18,432,BD+58     31,,1027,,Beta Cassiopeia,14.46240683,0.0283616,1.027533508,22.4939832,42,2
Gl   9.1,,,0,6,53,-46,1.4,0.214,145,-9.2,,K0 III,,3.88,,,1.03,,,0.84,,,0.46,C,,645,153,645,153,,2.9,,,e,-5,-13,11,496,CD-46    180,,,,Epsilon Pheonix,15.51463119,0.030034208,-0.802444212,6.026127114,60,2
NN,,,0,8,31,-6,3.7,0.252,88,-5.2,,dM2,M,10.86,,,1.47,,,1.18,,,0.72,,,,,43,7,r,9.03,,,d,-24,-14,1,,BD-06    15,G031-030,,V353,LTT 74,232.5588562,0.037160969,-0.103643469,0.021277369,72,1
NN,,,0,8,42,58,4.5,0.235,92,,,K7,L,9.48,,,1.22,,,1.07,,,0.51,,,,,46,6,r,7.79,,,c,,,,,,G243-016,,,LTT 10057,217.392071,0.037960911,1.013599963,0.066671814,67,1
Gl  10,,,0,8,43,-15,44.5,0.279,197.5,14.6,,F7 V,,4.89,,,0.49,,,-0.02,,,0.29,C,,658,136,62,8,r,3.85,,,c,16,-10,-17,693,BD-16    170,,,,Viln 82,161.2913559,0.038033633,-0.248854863,2.512,47,0
Gl  10.1,,s,0,9,3,-59,11.3,0.29,90.2,-4.6,,G4 V,,8.35,,,0.62,,,0.13,,,0.32,C,,496,153,20,4,r,4.86,,,d,-61,-31,-7,741,CP-59     80,,,,,500.0003333,0.039488074,-1.026457222,0.990831497,54,0
NN,,q,0,9,12,-35,24.8,0.211,54.2,-13.5,,F4 V,,5.25,,,0.44,,,,,,,,,322,119,44,6,r,3.47,,,c,-25,4,9,739,CD-35    420,,,,LTT 79,227.2734606,0.040142573,-0.603651211,3.564733737,44,0
GJ 1004,,,0,9,40,50,9.2,0.718,216,,,DA8,,14.36,,,0.42,,,-0.42,,,,,,907,37,907,37,,14.15,,,a,,,,,,G217-037,1038,W381,,11.04048951,0.04217879,0.875340798,0.000190466,38,1
Gl  11,A,,0,10,26,69,3.2,0.772,113.9,,,dM4   J,K,13.06,,,1.6,,J,1.27,,J,1.1,,J,496,38,496,38,,11.54,,,b,,,,,,G241-076,1040,,LTT 10070,20.16955936,0.045524005,1.205208026,0.00210799,74,1
