,"Object_Type","Combat_Role","Mass","Moment_Of_Inertia","Maneuver_Yaw","Maneuver_Pitch","Maneuver_Roll","Yaw_Governor","Pitch_Governor","Roll_Governor","Afterburner_Accel","Forward_Accel","Retro_Accel","Left_Accel","Right_Accel","Top_Accel","Bottom_Accel","Default_Speed_Governor","Afterburner_Speed_Governor","Afterburner_Type","Afterburner_Usage_Cost","Fuel_Capacity","Hull","Armor_Front_Top_Right","Armor_Front_Top_Left","Armor_Front_Bottom_Right","Armor_Front_Bottom_Left","Armor_Back_Top_Right","Armor_Back_Top_Left","Armor_Back_Bottom_Right","Armor_Back_Bottom_Left","Shield_Front_Top_Right","Shield_Back_Top_Left","Shield_Front_Bottom_Right","Shield_Front_Bottom_Left","Shield_Back_Top_Right","Shield_Front_Top_Left","Shield_Back_Bottom_Right","Shield_Back_Bottom_Left","Shield_Recharge","Shield_Leak","Shield_Efficiency","Reactor_Recharge","Primary_Capacitor","Warp_Capacitor","Jump_Drive_Present","Jump_Drive_Delay","Outsystem_Jump_Cost","Warp_Usage_Cost","Spec_Interdiction","ITTS","Radar_Color","Radar_Range","Tracking_Cone","Max_Cone","Lock_Cone","ECM_Rating","ECM_Resist","Ecm_Drain","Can_Cloak","Cloak_Min","Cloak_Rate","Cloak_Energy","Cloak_Glass","Repair_Droid","Activation_Accel","Activation_Speed","Hold_Volume","Upgrade_Storage_Volume","Upgrades","Prohibited_Upgrades","Sub_Units","Mounts","Dock","Cargo_Import","Cargo","Collide_Subunits","Tractorability"
"Key","string","string","metric tons","metric tons * meters*meters","metric tons*degrees/second^2","metric tons*degrees/second^2","metric tons*degrees/second^2","degrees/sec","degrees/sec","degrees/sec","metric tons*m/s^2","metric tons*m/s^2","metric tons*m/s^2","metric tons*m/s^2","metric tons*m/s^2","metric tons**m/s^2","metric tons*m/s^2","meters/second","meters/second","int type","100MJ/s","metric tons","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD/second","percentage","float(percent)","100MJ/s","100MJ","800MJ","Boolean","seconds","800MJ","800MJ/second",,"boolean","boolean","meters","Degrees","Degrees","Degrees","int","int","800MJ/s","boolean","percentage","percentage/second","800MJ/s","boolean","int","m/s^2","m/s","m^3","float","{filename(string);mountoffset(int);subunoffset(int)}","Semicolon delineated list of prohibited upgrades, allowing up to a certain number if specified with colon.","{filename(string);x(meters);y(meters);z(meters);forex(meters);forey(meters);forez(meters);upx(meters);upy(meters);upz(meters);restricted(degrees)}","{type(string);ammo(int);volume(meters);SIZE(string);x(meters);y(meters);z(meters);xyscale(meters);zscale(meters);forex(meters);forey(meters);forez(meters);upx(meters);upy(meters);upz(meters);functionality(percentage);maxfunctionality(percentage)}","{Type(int);x(meters);y(meters);z(meters);size(meters);minsize(meters)}","{Cat(string);price(percentage);pricestddev(percentage);quant(percentage);quantstddev(percentage)}","{filename(string);Category(string);price(credits);quant(int);mass(metric Tons);volume(meters*meters*meters);functionality(percentage);maxfunctionality(percentage);description(string);missionCargo(bool)}","boolean","pPiI"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agricultural_Station","Installation","BASE",1098842650,1098842650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,116570220.8,8750000,13000,13000,13000,13000,13000,13000,13000,13000,4000,4000,,,,,,,100,0,,470,18000,,"FALSE",,,,0.6,0,"TRUE",300000000,5,180,180,0,0,0,,,,,,,,,100000000000,1000000,,,,"{Seaxbane;6;;special-missile;-50;100;-185;;;0;0;1;0;1;0;1;1}","{0;-50;100;-185;40;0}","{Industrially_Manufactured_Goods/Agricultural;.6;.2;25;12}{Natural_Products/Life-forms;.7;.1;;}{Natural_Products/Liquor;.9;.1;30;45}{Natural_Products/Renewable_Resources;.9;.1;50;49}{Natural_Products/Food;.4;.1;5000;4123}{upgrades/Ammunition/Common;2.5;.1;4500;5500}{upgrades/Jump_Drives;2;.1;24;12}{upgrades/Reactors/Standard;2;.1;45;22}{upgrades/Sensors/Common;2;.1;20;10}{upgrades/Shield_Systems/Standard_Dual_Shields;2;.1;40;15}{upgrades/Shield_Systems/Standard_Quad_Shields;2;.1;35;12}",,,"pPiI"
"Agricultural_Station__aera","Installation","BASE",1098842650,1098842650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,116570220.8,8750000,13000,13000,13000,13000,13000,13000,13000,13000,4000,4000,,,,,,,100,0,,470,18000,,"FALSE",,,,0.6,0,"TRUE",300000000,5,180,180,0,0,0,,,,,,,,,100000000000,1000000,,,,"{Nicander.escort;1;;special-missile;-50;100;-185;;;0;0;1;0;1;0;1;1}","{0;-50;100;-185;40;0}","{Industrially_Manufactured_Goods/Agricultural;.6;.2;25;12}{Natural_Products/Life-forms;.7;.1;;}{Natural_Products/Liquor;.9;.1;30;45}{Natural_Products/Renewable_Resources;.9;.1;50;49}{Natural_Products/Food;.4;.1;5000;4123}{upgrades/Jump_Drives;2;.1;24;12}{upgrades/Reactors/Standard;2;.1;45;22}{upgrades/Sensors/Common;2;.1;20;10}{upgrades/Shield_Systems/Standard_Dual_Shields;2;.1;40;15}{upgrades/Shield_Systems/Standard_Quad_Shields;2;.1;35;12}",,,"pPiI"
"Agricultural_Station__rlaan","Installation","BASE",1098842650,1098842650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,116570220.8,8750000,13000,13000,13000,13000,13000,13000,13000,13000,4000,4000,,,,,,,100,0,,470,18000,,"FALSE",,,,0.6,0,"TRUE",300000000,5,180,180,0,0,0,,,,,,,,,100000000000,1000000,,,,"{Zhuangzong;2;;special-missile;-50;100;-185;;;0;0;1;0;1;0;1;1}","{0;-50;100;-185;40;0}","{Industrially_Manufactured_Goods/Agricultural;.6;.2;25;12}{Natural_Products/Life-forms;.7;.1;;}{Natural_Products/Liquor;.9;.1;30;45}{Natural_Products/Renewable_Resources;.9;.1;50;49}{Natural_Products/Food;.4;.1;5000;4123}{upgrades/Ammunition/Common;2.5;.1;4500;5500}{upgrades/Jump_Drives;2;.1;24;12}{upgrades/Reactors/Standard;2;.1;45;22}{upgrades/Sensors/Common;2;.1;20;10}{upgrades/Shield_Systems/Standard_Dual_Shields;2;.1;40;15}{upgrades/Shield_Systems/Standard_Quad_Shields;2;.1;35;12}",,,"pPiI"
"AsteroidFighterBase","Installation","BASE",25479610,25479610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2123300.83,1500000,15000,15000,15000,15000,15000,15000,15000,15000,6500,6500,6500,6500,,,,,47,0,,470,47000,,"FALSE",,,,0.6,0,"TRUE",300000000,5,180,180,0,0,0,,,,,,,,,100000000000,1000000,,,"{turretheavy;-131.4;5.99;-101.05;-0.47;-0.87;-0.17;-0.35;0.36;-0.86;180.0}{turretheavy;-54.07;21.53;-123.08;0.03;-0.97;-0.24;-0.17;0.23;-0.96;180.0}{turretheavy;94.33;29.59;27.98;0.52;-0.76;-0.39;0.47;0.64;-0.61;180.0}{turretheavy;58.35;8.39;85.19;-0.1;-0.97;0.23;-0.0;0.23;0.97;180.0}{turretheavy;-11.71;57.24;107.79;-0.1;0.02;1.0;-0.0;1.0;-0.02;180.0}{turretheavy;-159.3;-13.44;-54.02;-0.02;0.26;-0.97;-1.0;0.0;0.02;180.0}{turretheavy;-149.36;30.03;-50.0;-0.02;0.26;-0.97;-1.0;-0.0;0.02;180.0}{turretheavy;-36.68;-39.79;85.49;0.0;-1.0;0.0;0.0;0.0;1.0;180.0}{turretheavy;-38.32;131.36;-19.2;0.0;1.0;0.0;0.0;0.0;1.0;180.0}{turretheavy;-11.23;118.0;-85.16;0.0;1.0;0.0;0.0;0.0;-1.0;180.0}","{Progeny;16;;special-missile;-66;-205;102;;;0;0;1;0;1;0;1;1}{Progeny;16;;special-missile;-66;-205;102;;;0;0;1;0;1;0;1;1}","{;-14.13;50.99;116.67;16.0;0}{20;-18.43;257.52;-31.63;48.0;0}{10;-18.43;197.63;-31.63;32.0;0}{;-18.43;144.8;-31.63;16.0;0}","{Consumer_and_Commercial_Goods/Domestic;.7;.2;;}{Consumer_and_Commercial_Goods/Electronics;.9;.1;;}{Industrially_Manufactured_Goods/Agricultural;.7;.1;;}{Industrially_Manufactured_Goods/Construction;1.2;.1;1;1}{Industrially_Manufactured_Goods/Electronics;1.2;.1;1;1}{Industrially_Manufactured_Goods/Manufacturing;1.2;.2;;}{Industrially_Manufactured_Goods/Mining;1.3;.1;1;1}{Industrially_Manufactured_Goods/Power_Utilities;.8;.1;;}{Industrially_Manufactured_Goods/Recycled_Products;1.1;.1;;}{Natural_Products/Life-forms;1;.1;2;2}{Natural_Products/Liquor;1.1;.1;1;1}{Natural_Products/Renewable_Resources;.7;.1;;}{Raw_Materials/Gases;1.2;.1;5;5}{Raw_Materials/Hydrocarbons;.7;.2;;}{Raw_Materials/Industrial_Gems;.7;.2;12;7}{Raw_Materials/Metals;.65;.2;24;15}{Raw_Materials/Stone;.7;.1;7;3}{Refined_Materials/Chemicals;1.1;.2;3;2}{Refined_Materials/Precious_Metals;.65;.2;12;5}{Refined_Materials/Purified_and_Enhanced_Materials;1.05;.1;10;}{Refined_Materials/Radioactive_Metals;.65;.2;15;5}{Specialty_Goods/Entertainment;1.2;.1;1;1}{Specialty_Goods/Medical;1.1;.1;5;3}{starships/Confed/Milspec;1;;12;5}{starships/Purist/Milspec;1;;12;5}{upgrades/Armor;1;.1;10;5}{upgrades/Capacitors/Standard;1;.1;10;5}{upgrades/ECM_Systems;1;.1;12;5}{upgrades/Jump_Drives;1;.1;16;7}{upgrades/Overdrive;1;.1;3;2}{upgrades/Reactors/Standard;1;.1;10;5}{upgrades/Sensors/Confed;1;.1;12;5}{upgrades/Sensors/Highborn;.9;.3;5;5}{upgrades/Shield_Systems/Standard_Dual_Shields;1;.1;20;5}{upgrades/Shield_Systems/Standard_Quad_Shields;1;.1;20;5}{upgrades/Weapons/Accelerators;1;.1;24;1}{upgrades/Weapons/Ammunition;1;.1;24;1}",,,"pPiI"
"AsteroidFighterBase__aera","Installation","BASE",42628333.5,42628333.5,388,388,388,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0.13,0,,3552361.13,900000,3000,3000,3000,3000,3000,3000,3000,3000,8000,8000,8000,8000,,,,,80,0,,470,18000,,"FALSE",,,,0.6,0,"TRUE",300000000,5,180,180,0,0,0,,,,,,,,,100000000000,1000000,,,,"{Nicander.escort;9;;special-missile;-11;8;8.5;;;0;0;1;0;1;0;1;1}{Nicander.escort;9;;special-missile;-11;8;8.5;;;0;0;1;0;1;0;1;1}{Nicander.escort;9;;special-missile;-11;8;8.5;;;0;0;1;0;1;0;1;1}{Nicander.escort;9;;special-missile;-11;8;8.5;;;0;0;1;0;1;0;1;1}","{11;-11;8;8.5;6;0}{20;-33;24;8.5;6;0}","{Consumer_and_Commercial_Goods/Domestic;.9;.2;;2}{Consumer_and_Commercial_Goods/Electronics;1.2;.2;;4}{Industrially_Manufactured_Goods/Agricultural;.8;.1;;}{Industrially_Manufactured_Goods/Construction;1.1;.2;;1}{Industrially_Manufactured_Goods/Electronics;1.1;.2;;1}{Industrially_Manufactured_Goods/Manufacturing;1.1;.1;;3}{Industrially_Manufactured_Goods/Mining;.8;.1;;}{Industrially_Manufactured_Goods/Power_Utilities;1.2;.1;;1}{Industrially_Manufactured_Goods/Recycled_Products;1.1;.1;;7}{Natural_Products/Food/Aera;1.9;.2;;2}{Natural_Products/Life-forms;.9;.1;;}{Natural_Products/Liquor;.9;.1;;1}{Natural_Products/Renewable_Resources;.8;.1;;}{Raw_Materials/Gases;1.1;.1;;1}{Raw_Materials/Hydrocarbons;.8;.1;;}{Raw_Materials/Industrial_Gems;1.1;.1;;}{Raw_Materials/Metals;.8;.1;;}{Raw_Materials/Stone;.8;.1;;}{Refined_Materials/Alloys/Aera;1.05;.1;;2}{Refined_Materials/Chemicals;.98;.3;;1}{Refined_Materials/Precious_Metals;.8;.1;;}{Refined_Materials/Purified_and_Enhanced_Materials;.8;.1;;}{Refined_Materials/Radioactive_Metals;.8;.1;;}{Refined_Materials/Synthetics;1;.3;;1}{Research;12;2;;1}{Specialty_Goods/Entertainment;1.325;.575;;2}{Specialty_Goods/Medical;1.1;.1;;3}{starships/Aera/Heavy;1;;;5}{starships/Aera/Light;1;;;17}{starships/Aera/Milspec;1;;;2}{upgrades/Armor;1;.1;10;12}{upgrades/Capacitors/Standard;1;.1;10;5}{upgrades/ECM_Systems;1;.1;;7}{upgrades/Experimental;1.4;.2;;}{upgrades/Jump_Drives;1;.1;4;7}{upgrades/Miscellaneous/Aera_Milspec;1;.1;;1}{upgrades/Overdrive;1;.1;3;12}{upgrades/Reactors/Standard;1;.1;10;22}{upgrades/Repair_Systems;1.1;.2;;7}{upgrades/Sensors/Confed;1;.1;;1}{upgrades/Sensors/Common;1;;;5}{upgrades/Shield_Systems/Standard_Dual_Shields;1;.1;20;10}{upgrades/Shield_Systems/Standard_Quad_Shields;1;.1;20;8}{upgrades/SPEC_Capacitors;1;.1;4;2}{upgrades/Weapons/Accelerators/Aera;1;.1;16;1}{upgrades/Weapons/Ammunition/Aera;1;.1;24;1}{upgrades/Weapons/Turrets/Aera;1;.1;8;1}",,,"pPiI"
"AsteroidFighterBase__rlaan","Installation","BASE",25479610,25479610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2123300.83,1500000,15000,15000,15000,15000,15000,15000,15000,15000,8000,8000,8000,8000,,,,,47,0,,470,47000,,"FALSE",,,,0.6,0,"TRUE",300000000,5,180,180,0,0,0,,,,,,,,,100000000000,1000000,,,"{turretheavy;-131.4;5.99;-101.05;-0.47;-0.87;-0.17;-0.35;0.36;-0.86;180.0}{turretheavy;-54.07;21.53;-123.08;0.03;-0.97;-0.24;-0.17;0.23;-0.96;180.0}{turretheavy;94.33;29.59;27.98;0.52;-0.76;-0.39;0.47;0.64;-0.61;180.0}{turretheavy;58.35;8.39;85.19;-0.1;-0.97;0.23;-0.0;0.23;0.97;180.0}{turretheavy;-11.71;57.24;107.79;-0.1;0.02;1.0;-0.0;1.0;-0.02;180.0}{turretheavy;-159.3;-13.44;-54.02;-0.02;0.26;-0.97;-1.0;0.0;0.02;180.0}{turretheavy;-149.36;30.03;-50.0;-0.02;0.26;-0.97;-1.0;-0.0;0.02;180.0}{turretheavy;-36.68;-39.79;85.49;0.0;-1.0;0.0;0.0;0.0;1.0;180.0}{turretheavy;-38.32;131.36;-19.2;0.0;1.0;0.0;0.0;0.0;1.0;180.0}{turretheavy;-11.23;118.0;-85.16;0.0;1.0;0.0;0.0;0.0;-1.0;180.0}","{Progeny;16;;special-missile;-66;-205;102;;;0;0;1;0;1;0;1;1}","{;-14.13;50.99;116.67;16.0;0}{20;-18.43;257.52;-31.63;48.0;0}{10;-18.43;197.63;-31.63;32.0;0}{;-18.43;144.8;-31.63;16.0;0}","{Consumer_and_Commercial_Goods/Domestic;.7;.2;;}{Consumer_and_Commercial_Goods/Electronics;.9;.1;;}{Industrially_Manufactured_Goods/Agricultural;.7;.1;;}{Industrially_Manufactured_Goods/Construction;1.2;.1;1;1}{Industrially_Manufactured_Goods/Electronics;1.2;.1;1;1}{Industrially_Manufactured_Goods/Manufacturing;1.2;.2;;}{Industrially_Manufactured_Goods/Mining;1.3;.1;1;1}{Industrially_Manufactured_Goods/Power_Utilities;.8;.1;;}{Industrially_Manufactured_Goods/Recycled_Products;1.1;.1;;}{Natural_Products/Life-forms;1;.1;2;2}{Natural_Products/Liquor;1.1;.1;1;1}{Natural_Products/Renewable_Resources;.7;.1;;}{Raw_Materials/Gases;1.2;.1;5;5}{Raw_Materials/Hydrocarbons;.7;.2;;}{Raw_Materials/Industrial_Gems;.7;.2;12;7}{Raw_Materials/Metals;.65;.2;24;15}{Raw_Materials/Stone;.7;.1;7;3}{Refined_Materials/Chemicals;1.1;.2;3;2}{Refined_Materials/Precious_Metals;.65;.2;12;5}{Refined_Materials/Purified_and_Enhanced_Materials;1.05;.1;10;}{Refined_Materials/Radioactive_Metals;.65;.2;15;5}{Specialty_Goods/Entertainment;1.2;.1;1;1}{Specialty_Goods/Medical;1.1;.1;5;3}{starships/Confed/Milspec;1;;12;5}{starships/Purist/Milspec;1;;12;5}{upgrades/Armor;1;.1;10;5}{upgrades/Capacitors/Standard;1;.1;10;5}{upgrades/ECM_Systems;1;.1;12;5}{upgrades/Jump_Drives;1;.1;16;7}{upgrades/Overdrive;1;.1;3;2}{upgrades/Reactors/Standard;1;.1;10;5}{upgrades/Sensors/Rlaan;1;.1;12;5}{upgrades/Shield_Systems/Standard_Dual_Shields;1;.1;20;5}{upgrades/Shield_Systems/Standard_Quad_Shields;1;.1;20;5}{upgrades/Weapons/Accelerators/Rlaan;1;.1;16;1}{upgrades/Weapons/Ammunition/Rlaan;1;.1;24;1}{upgrades/Weapons/Turrets/Rlaan;1;.1;8;1}",,,"pPiI"
"Asteroid_Refinery","Installation","BASE",8241769.5,8241769.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,686814.13,712000,15000,15000,15000,15000,15000,15000,15000,15000,3000,3000,3000,3000,,,,,50,0,,4000,40000,,"FALSE",,,,0.6,0,"TRUE",300000000,5,180,180,0,0,0,,,,,,,,,100000000000,1000000,,,,"{Seaxbane;4;;special-missile;2343;-200;0;;;0;0;1;0;1;0;1;1}","{;5.13;7.1;0.0;1.35;0}","{Consumer_and_Commercial_Goods/Domestic;.7;.2;;}{Consumer_and_Commercial_Goods/Electronics;.9;.1;;}{Industrially_Manufactured_Goods/Agricultural;.7;.1;;}{Industrially_Manufactured_Goods/Construction;1.2;.1;1;1}{Industrially_Manufactured_Goods/Electronics;1.2;.1;1;1}{Industrially_Manufactured_Goods/Manufacturing;1.2;.2;;}{Industrially_Manufactured_Goods/Mining;1.3;.1;1;1}{Industrially_Manufactured_Goods/Power_Utilities;.8;.1;;}{Industrially_Manufactured_Goods/Recycled_Products;1.1;.1;;}{Natural_Products/Life-forms;1;.1;2;2}{Natural_Products/Liquor;1.1;.1;1;1}{Natural_Products/Renewable_Resources;.7;.1;;}{Raw_Materials/Gases;1.2;.1;5;5}{Raw_Materials/Hydrocarbons;.7;.2;;}{Raw_Materials/Industrial_Gems;.7;.2;22;7}{Raw_Materials/Metals;.65;.2;42;15}{Raw_Materials/Stone;.7;.1;7;3}{Refined_Materials/Chemicals;1.1;.2;3;2}{Refined_Materials/Precious_Metals;.65;.2;22;5}{Refined_Materials/Purified_and_Enhanced_Materials;1.05;.1;10;}{Refined_Materials/Radioactive_Metals;.65;.2;25;5}{Specialty_Goods/Entertainment;1.2;.1;1;1}{Specialty_Goods/Medical;1.1;.1;5;3}{starships/Andolian/Medium;1;;6;3}{starships/Confed/Light;1;;12;5}{starships/Confed/Medium;1;;6;3}{starships/Hunter/Light;1;;12;5}{starships/Hunter/Medium;1;;6;3}{starships/Merchant/Light;1;;12;5}{starships/Merchant/Medium;1;;6;3}{starships/Regional_Guard/Light;1;;12;5}{starships/Regional_Guard/Medium;1;;6;3}{upgrades/Armor;1;.1;10;5}{upgrades/Capacitors/Standard;1;.1;10;5}{upgrades/Cargo;1;.1;2;1}{upgrades/ECM_Systems;1;.1;;3}{upgrades/Jump_Drives;1;.1;6;3}{upgrades/Overdrive;1;.1;6;4}{upgrades/Passenger_Quarters;1;.1;10;2}{upgrades/Reactors/Standard;1;.1;10;5}{upgrades/Repair_Systems;1;.1;-1;4}{upgrades/Sensors/Confed;1;.1;6;5}{upgrades/Sensors/Common;1;.1;6;3}{upgrades/Shady_Mechanic;1;.1;-2;5}{upgrades/Shield_Systems/Standard_Dual_Shields;1;.1;20;5}{upgrades/Shield_Systems/Standard_Quad_Shields;1;.1;20;5}{upgrades/SPEC_Capacitors;1;.1;6;2}{upgrades/Weapons/Accelerators;1;.1;;5}{upgrades/Weapons/Ammunition;1;.1;;5}",,,"pPiI"
"Asteroid_Refinery__uln","Installation","BASE",8241769.5,8241769.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,686814.13,712000,15000,15000,15000,15000,15000,15000,15000,15000,3000,3000,3000,3000,,,,,50,0,,4000,40000,,"FALSE",,,,0.6,0,"TRUE",300000000,5,180,180,0,0,0,,,,,,,,,100000000000,1000000,,,,"{Seaxbane;4;;special-missile;2343;-200;0;;;0;0;1;0;1;0;1;1}","{;5.13;7.1;0.0;1.35;0}","{Consumer_and_Commercial_Goods/Domestic;.7;.2;;}{Consumer_and_Commercial_Goods/Electronics;.9;.1;;}{Industrially_Manufactured_Goods/Agricultural;.7;.1;;}{Industrially_Manufactured_Goods/Construction;1.2;.1;1;1}{Industrially_Manufactured_Goods/Electronics;1.2;.1;1;1}{Industrially_Manufactured_Goods/Manufacturing;1.2;.2;;}{Industrially_Manufactured_Goods/Mining;1.3;.1;1;1}{Industrially_Manufactured_Goods/Power_Utilities;.8;.1;;}{Industrially_Manufactured_Goods/Recycled_Products;1.1;.1;;}{Natural_Products/Life-forms;1;.1;2;2}{Natural_Products/Liquor;1.1;.1;1;1}{Natural_Products/Renewable_Resources;.7;.1;;}{Raw_Materials/Gases;1.2;.1;5;5}{Raw_Materials/Hydrocarbons;.7;.2;;}{Raw_Materials/Industrial_Gems;.7;.2;22;7}{Raw_Materials/Metals;.65;.2;42;15}{Raw_Materials/Stone;.7;.1;7;3}{Refined_Materials/Chemicals;1.1;.2;3;2}{Refined_Materials/Precious_Metals;.65;.2;22;5}{Refined_Materials/Purified_and_Enhanced_Materials;1.05;.1;10;}{Refined_Materials/Radioactive_Metals;.65;.2;25;5}{Specialty_Goods/Entertainment;1.2;.1;1;1}{Specialty_Goods/Medical;1.1;.1;5;3}{starships/Andolian/Medium;1;;6;3}{starships/Confed/Light;1;;12;5}{starships/Confed/Medium;1;;6;3}{starships/Hunter/Light;1;;12;5}{starships/Hunter/Medium;1;;6;3}{starships/Merchant/Light;1;;12;5}{starships/Merchant/Medium;1;;6;3}{starships/Regional_Guard/Light;1;;12;5}{starships/Regional_Guard/Medium;1;;6;3}{upgrades/Ammunition/Common;1;.1;100;280}{upgrades/Ammunition/Uncommon;3;.4;-10;280}{upgrades/Armor;1;.1;10;5}{upgrades/Capacitors/Standard;1;.1;10;5}{upgrades/Cargo;1;.1;2;1}{upgrades/ECM_Systems;1;.1;;3}{upgrades/Jump_Drives;1;.1;6;3}{upgrades/Overdrive;1;.1;6;4}{upgrades/Passenger_Quarters;1;.1;10;2}{upgrades/Reactors/Standard;1;.1;10;5}{upgrades/Repair_Systems;1;.1;-1;4}{upgrades/Sensors/Confed;1;.1;6;5}{upgrades/Sensors/Common;1;.1;6;3}{upgrades/Shady_Mechanic;1;.1;-2;5}{upgrades/Shield_Systems/Standard_Dual_Shields;1;.1;20;5}{upgrades/Shield_Systems/Standard_Quad_Shields;1;.1;20;5}{upgrades/SPEC_Capacitors;1;.1;6;2}{upgrades/Weapons/Ammunition;1;.1;;5}{upgrades/Weapons/Accelerators;1;.1;-3;5}",,,"pPiI"
