,"Name","Directory","Hud_image","Cockpit","CockpitX","CockpitY","CockpitZ","Unit_Scale","Mesh","Shield_Mesh","Rapid_Mesh","BSP_Mesh","Use_BSP","Use_Rapid","Sound","Light","Explosion","Textual_Description"
"Key","string","String","string","string","x=float","y=float","z=float(meters)","float","{filename(string);frame(int);texturetime(float)}","string","string","string","boolean","boolean","shieldhit(string);armorhit(string);hullhit(string);jump(string);explode(string);cloak(string);engine(string)","{meshfile(string);x(meters);y(meters);z(meters);scale(meters);r(percentage);g(percentage);b(percentage);a(percentage);activationspeed(meters/second)}","string","string"
,,,,,,,,,,,,,,,,,,
"Agricultural_Station","Agricultural Station","./installations/Agricultural_Station","ag-hud.spr",,,,,6,"{agricultural_station.bfxm;;}",,,,,,";;;;;;",,,"Orbital Hydroponics"
"Agricultural_Station__aera","Agricultural Station","./installations/Agricultural_Station","ag-hud.spr",,,,,6,"{agricultural_station.bfxm;;}",,,,,,";;;;;;",,,"Orbital Hydroponics"
"Agricultural_Station__rlaan","Agricultural Station","./installations/Agricultural_Station","ag-hud.spr",,,,,6,"{agricultural_station.bfxm;;}",,,,,,";;;;;;",,,"Orbital Hydroponics"
"AsteroidFighterBase","AsteroidFighterBase","./installations/AsteroidFighterBase","asteroidfighterbase-hud.sprite",,,,,10,"{asteroidfighterbase.bfxm;;}",,,,,,";;;;;;",,,"A fighter base built into an asteroid"
"AsteroidFighterBase__aera","Aera Asteroid Fighter Base","./factions/aera/AsteroidFighterBase","station-hud.spr",,,,,100,"{asteroidfighterbase.bfxm;;}",,,,,,";;;;;;",,,"A fighter base"
"AsteroidFighterBase__rlaan","AsteroidFighterBase__rlaan","./installations/AsteroidFighterBase","asteroidfighterbase-hud.sprite",,,,,15,"{asteroidfighterbase.bfxm;;}",,,,,,";;;;;;",,,"A fighter base"
"Asteroid_Refinery","Uln_Asteroid_Refinery","./installations/Uln_Asteroid_Refinery","uln_asteroid_refinery-hud.sprite",,,,,72,"{uln_asteroid_refinery.bfxm;;}",,,,,,";;;;;;",,,"Uln Asteroid Refinery"
"Asteroid_Refinery__uln","Uln_Asteroid_Refinery","./installations/Uln_Asteroid_Refinery","uln_asteroid_refinery-hud.sprite",,,,,72,"{uln_asteroid_refinery.bfxm;;}",,,,,,";;;;;;",,,"Uln Asteroid Refinery"
"Asteroid_Shipyard","Civilan_Asteroid_Shipyard","./installations/Civilan_Asteroid_Shipyard","civilan_asteroid_shipyard-hud.sprite",,,,,59,"{civilan_asteroid_shipyard.bfxm;;}",,,,,,";;;;;;",,,"Civilian asteroid shipyard"
"Commerce_Center","Commerce Center","./installations/Commerce_Center","station-hud.spr",,,,,1,"{commerce_center.bfxm;;}",,,,,,";;;;;;",,,"WRITEME"
"Commerce_Center__rlaan","Rlaan_Commerce_Center","./installations/Rlaan_Commerce_Center","rlaan_commerce_center-hud.sprite",,,,,60,"{rlaan_commerce_center.bfxm;;}",,,,,,";;;;;;",,,"Rlaan commerce center"
"Commerce_Center__uln","Uln_Commerce_Center","./installations/Uln_Commerce_Center","uln_commerce_center-hud.sprite",,,,,55,"{uln_commerce_center.bfxm;;}",,,,,,";;;;;;",,,"Uln commerce center"
"Diplomatic_Center","Diplomatic_Center","./installations/Diplomatic_Center","diplomatic_center-hud.sprite",,,,,1,"{diplomatic_center.bfxm;;}",,,,,,";;;;;;",,,"Diplomatic center"
"Factory","Factory","./installations/Factory","factory-hud.spr",,,,,2,"{factory.bfxm;;}",,,,,,";;;;;;",,,"WRITEME"
"Factory__aera","Factory","./factions/aera/factory","factory-hud.spr",,,,,80,"{factory.bfxm;;}",,,,,,";;;;;;",,,"WRITEME"
"Factory__rlaan","Factory","./factions/rlaan/factory","factory-hud.spr",,,,,200,"{star6.bfxm;;}",,,,,,";;;;;;",,,"WRITEME"
"Fighter_Barracks","Fighter Barracks","./installations/Fighter_Barracks","fighter_barracks-hud.spr",,,,,3,"{fighter_barracks.bfxm;;}",,,,,,,,,"WRITEME"
"Fighter_Barracks__aera","Fighter Barracks","./factions/aera/fighter_barracks","station-hud.spr",,,,,,"{fighter_barracks.bfxm;;}",,,,,,";;;;;;",,,"WRITEME"
"Fighter_Barracks__rlaan","Fighter_Barracks__rlaan","./installations/Rlaan_Fighter_Barracks","rlaan_fighter_barracks-hud.sprite",,,,,200,"{rlaan_fighter_barracks.bfxm;;}",,,,,,";;;;;;",,,"Fighter Barracks"
"Gasmine","Gas Mine","./installations/Gasmine","Gasmine-hud.spr",,,,,4,"{gasmine.bfxm;;}",,,,,,";;;;;;",,,"Gas collection and preliminary processing"
"Gasmine__aera","Gas Mine","./installations/Gasmine","Gasmine-hud.spr",,,,,4,"{gasmine.bfxm;;}",,,,,,";;;;;;",,,"Gas collection and preliminary processing"
"Gasmine__rlaan","Gas Mine","./installations/Gasmine","Gasmine-hud.spr",,,,,4,"{gasmine.bfxm;;}",,,,,,";;;;;;",,,"Gas collection and preliminary processing"
"Medical","Medical Station","./installations/Medical","medical-hud.spr",,,,,1,"{medical.bfxm;;}",,,,,,,,,"WRITEME"
"Medical__aera","Medical Station","./factions/aera/medical","aera_medium_base-hud.spr",,,,,10,"{medical.bfxm;;}",,,,,,,,,"WRITEME"
"Medical__rlaan","Medical__rlaan","./installations/Rlaan_Medical","rlaan_medical-hud.sprite",,,,,1,"{rlaan_medical.bfxm;;}",,,,,,";;;;;;",,,"Rlaan medical station"
"MiningBase","MiningBase","./installations/MiningBase","MininBase2-hud.spr",,,,,0.4,"{MiningBase.bfxm;;}",,,,,,";;;;;;",,,"WRITEME"
"MiningBase__aera","MiningBase__aera","./factions/aera/MiningBase","aera-mine-hud.spr",,,,,10,"{miningbase.bfxm;;}",,,,,,";;;;;;",,,"Aera mining base"
