,"Object_Type","Combat_Role","Mass","Moment_Of_Inertia","Maneuver_Yaw","Maneuver_Pitch","Maneuver_Roll","Yaw_Governor","Pitch_Governor","Roll_Governor","Afterburner_Accel","Forward_Accel","Retro_Accel","Left_Accel","Right_Accel","Top_Accel","Bottom_Accel","Default_Speed_Governor","Afterburner_Speed_Governor","Afterburner_Type","Afterburner_Usage_Cost","Fuel_Capacity","Hull","Armor_Front_Top_Right","Armor_Front_Top_Left","Armor_Front_Bottom_Right","Armor_Front_Bottom_Left","Armor_Back_Top_Right","Armor_Back_Top_Left","Armor_Back_Bottom_Right","Armor_Back_Bottom_Left","Shield_Front_Top_Right","Shield_Back_Top_Left","Shield_Front_Bottom_Right","Shield_Front_Bottom_Left","Shield_Back_Top_Right","Shield_Front_Top_Left","Shield_Back_Bottom_Right","Shield_Back_Bottom_Left","Shield_Recharge","Shield_Leak","Shield_Efficiency","Reactor_Recharge","Primary_Capacitor","Warp_Capacitor","Jump_Drive_Present","Jump_Drive_Delay","Outsystem_Jump_Cost","Warp_Usage_Cost","Spec_Interdiction","ITTS","Radar_Color","Radar_Range","Tracking_Cone","Max_Cone","Lock_Cone","ECM_Rating","ECM_Resist","Ecm_Drain","Can_Cloak","Cloak_Min","Cloak_Rate","Cloak_Energy","Cloak_Glass","Repair_Droid","Activation_Accel","Activation_Speed","Hold_Volume","Upgrade_Storage_Volume","Upgrades","Prohibited_Upgrades","Sub_Units","Mounts","Dock","Cargo_Import","Cargo","Collide_Subunits","Tractorability"
"Key","string","string","metric tons","metric tons * meters*meters","metric tons*degrees/second^2","metric tons*degrees/second^2","metric tons*degrees/second^2","degrees/sec","degrees/sec","degrees/sec","metric tons*m/s^2","metric tons*m/s^2","metric tons*m/s^2","metric tons*m/s^2","metric tons*m/s^2","metric tons**m/s^2","metric tons*m/s^2","meters/second","meters/second","int type","100MJ/s","metric tons","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD/second","percentage","float(percent)","100MJ/s","100MJ","800MJ","Boolean","seconds","800MJ","800MJ/second",,"boolean","boolean","meters","Degrees","Degrees","Degrees","int","int","800MJ/s","boolean","percentage","percentage/second","800MJ/s","boolean","int","m/s^2","m/s","m^3","float","{filename(string);mountoffset(int);subunoffset(int)}","Semicolon delineated list of prohibited upgrades, allowing up to a certain number if specified with colon.","{filename(string);x(meters);y(meters);z(meters);forex(meters);forey(meters);forez(meters);upx(meters);upy(meters);upz(meters);restricted(degrees)}","{type(string);ammo(int);volume(meters);SIZE(string);x(meters);y(meters);z(meters);xyscale(meters);zscale(meters);forex(meters);forey(meters);forez(meters);upx(meters);upy(meters);upz(meters);functionality(percentage);maxfunctionality(percentage)}","{Type(int);x(meters);y(meters);z(meters);size(meters);minsize(meters)}","{Cat(string);price(percentage);pricestddev(percentage);quant(percentage);quantstddev(percentage)}","{filename(string);Category(string);price(credits);quant(int);mass(metric Tons);volume(meters*meters*meters);functionality(percentage);maxfunctionality(percentage);description(string);missionCargo(bool)}","boolean","pPiI"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Areus","Vessel","BOMBER",216,216,2400,2400,5000,35,35,35,5000,4000,3000,1000,1000,1000,1000,150,180,1,4,18,450,400,400,400,400,300,300,300,300,1600,1600,1600,1600,,,,,40,0,,240,1200,1600,"TRUE",1,200,200,0.1,"TRUE","TRUE",300000000,10,180,10,0,0,0,,,,,,,,,50,900,,"mult_shady_moreupgrade;mult_shady_morethrust;mult_shady_moreshields;mult_shady_moregunrecharge;mult_shady_moreshieldrecharge;mult_shady_moreturning;upgrades/Overdrive:1;upgrades/Capacitors:1;upgrades/Reactors:1;upgrades/Armor:1;upgrades/Sensors:1;upgrades/Shield_Systems:1;upgrades/Passenger_Quarters:1;upgrades/Repair_Systems:1;upgrades/ECM_Systems:1",,"{Photon_MKIII;3000;6;Light medium autotracking;6;-2.75;-4.75;;;;;;;;;1;1}{Photon_MKIII;3000;6;Light medium autotracking;-6;-2.75;-4.75;;;;;;;;;1;1}{Photon_MKIII;3000;6;Light medium autotracking;6;4.75;-4.75;;;;;;;;;1;1}{Photon_MKIII;3000;6;Light medium autotracking;-6;4.75;-4.75;;;;;;;;;1;1}{Penetrator;;40;heavy autotracking;0;-3;3;;;;;;;;;1;1}{Heatseeker;7;21;light-missile;6.082913;-.368988;0.747223;;;;;;;;;1;1}{HeatSeeker;7;21;light-missile;-6.157103;-.379586;1.100964;;;;;;;;;1;1}{AdvTorpedo;4;400;Light-missile medium-missile heavy-missile;6.045031;-3.217878;0.973509;;;;;;;;;1;1}{AdvTorpedo;4;400;Light-missile medium-missile heavy-missile;-6.022359;-3.201684;0.913285;;;;;;;;;1;1}",,,,,"pPiI"
"Areus.blank","Vessel","BOMBER",76,76,2400,2400,5000,35,35,35,5000,4000,3000,1000,1000,1000,1000,150,180,1,4,18,450,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,25,"FALSE",1,200,200,0.1,"FALSE","FALSE",100000,0,0,0,0,0,0,,,,,,,,,50,900,,"upgrades/Overdrive:1;upgrades/Capacitors:1;upgrades/Reactors:1;upgrades/Armor:1;upgrades/Sensors:1;upgrades/Shield_Systems:1;upgrades/Passenger_Quarters:1;upgrades/Repair_Systems:1;upgrades/ECM_Systems:1",,"{;;3;Light medium autotracking;6;-2.75;-4.75;;;;;;;;;1;1}{;;3;Light medium autotracking;-6;-2.75;-4.75;;;;;;;;;1;1}{;;3;Light medium autotracking;6;4.75;-4.75;;;;;;;;;1;1}{;;3;Light medium autotracking;-6;4.75;-4.75;;;;;;;;;1;1}{;;;heavy autotracking;0;-3;3;;;;;;;;;1;1}{;;21;light-missile;6.082913;-.368988;0.747223;;;;;;;;;1;1}{;;21;light-missile;-6.157103;-.379586;1.100964;;;;;;;;;1;1}{;;300;Light-missile medium-missile heavy-missile;6.045031;-3.217878;0.973509;;;;;;;;;1;1}{;;300;Light-missile medium-missile heavy-missile;-6.022359;-3.201684;0.913285;;;;;;;;;1;1}",,,,,"pPiI"
"Goddard","Vessel","BOMBER",4800,4800,20000,20000,20000,16,16,16,150000,130000,110000,60000,60000,60000,60000,150,180,1,4,166.67,2100,850,850,850,850,850,850,850,850,4200,3600,3600,3600,,,,,200,0,,500,4000,450,"TRUE",1,200,200,0.1,"TRUE","TRUE",150000000,15,180,90,0,0,0,,,,,,,,,1000,25000,,"mult_shady_moreupgrade;mult_shady_morethrust;mult_shady_moreshields;mult_shady_moregunrecharge;mult_shady_moreshieldrecharge;mult_shady_moreturning;upgrades/Overdrive:1;upgrades/Capacitors:1;upgrades/Reactors:1;upgrades/Armor:1;upgrades/Sensors:1;upgrades/Shield_Systems:1;upgrades/Passenger_Quarters:1;upgrades/Repair_Systems:1;upgrades/ECM_Systems:1","{turretpdlong;0;2.2;4.5;0;0;1;0;1;0;180.0}{turretpdlong;0;-4.05;10;0;0;1;0;-1;0;180.0}","{torpedo;8;800;heavy-missile;1;-2;7;;;;;;;;;1;1}{torpedo;8;800;heavy-missile;-1;-2;7;;;;;;;;;1;1}{torpedo;8;800;heavy-missile;1;-2;-1;;;;;;;;;1;1}{torpedo;8;800;heavy-missile;-1;-2;-1;;;;;;;;;1;1}{FS_MWRF_Laser;;;light autotracking;12.5;0.1;0;;;;;;;;;1;1}{FS_MWRF_Laser;;;light autotracking;-12.5;0.1;0;;;;;;;;;1;1}{FS_MWRF_Laser;;;light autotracking;12.5;-0.1;0;;;;;;;;;1;1}{FS_MWRF_Laser;;;light autotracking;-12.5;-0.1;0;;;;;;;;;1;1}{DisruptorBeam;;;light medium autotracking;-2;0;12;;;;;;;;;1;1}{DisruptorBeam;;;light medium autotracking;2;-0;12;;;;;;;;;1;1}{RelativisticParticleBeam;;;capship-light;-0.1;-2;13;;;;;;;;;1;1}{RelativisticParticleBeam;;;capship-light;0.1;-2;13;;;;;;;;;1;1}{friendorfoe;5;80;light-missile medium-missile;4.1;0;-3;;;;;;;;;1;1}{friendorfoe;5;80;light-missile medium-missile;3.9;0;-3;;;;;;;;;1;1}{friendorfoe;5;80;light-missile medium-missile;-4.1;0;-3;;;;;;;;;1;1}{friendorfoe;5;80;light-missile medium-missile;-3.9;0;-3;;;;;;;;;1;1}{friendorfoe;5;80;light-missile medium-missile;8.1;0;-3;;;;;;;;;1;1}{friendorfoe;5;80;light-missile medium-missile;7.9;0;-3;;;;;;;;;1;1}{friendorfoe;5;80;light-missile medium-missile;-8.1;0;-3;;;;;;;;;1;1}{friendorfoe;5;80;light-missile medium-missile;-7.9;0;-3;;;;;;;;;1;1}",,,,,"pPiI"
"Kierkegaard","Vessel","BOMBER",1500,1500,10000,10000,10000,20,20,20,60000,55000,40000,8000,8000,8000,8000,150,180,1,4,60,1000,650,650,650,650,650,650,650,650,2800,2800,2400,2400,,,,,150,0,,250,2000,1600,"TRUE",1,200,120,0.1,"FALSE","FALSE",300000000,10,180,90,0,0,0,,,,,0,0,,,400,4500,,"mult_shady_moreupgrade;mult_shady_morethrust;mult_shady_moreshields;mult_shady_moregunrecharge;mult_shady_moreshieldrecharge;mult_shady_moreturning;upgrades/Overdrive:1;upgrades/Capacitors:1;upgrades/Reactors:1;upgrades/Armor:1;upgrades/Sensors:1;upgrades/Shield_Systems:1;upgrades/Passenger_Quarters:1;upgrades/Repair_Systems:1;upgrades/ECM_Systems:1","{turretpdlong;0;2.3;-4.5;0;0;1;0;1;0;180.0}{turretpdlong;0;-1.9;5.75;0;0;1;0;-1;0;180.0}{turretbeam;2.1;2;-4.4;1.0;0;0;0;1;0;180.0}{turretbeam;-2.3;-0.65;-4.1;1.0;0;0;0;-1;0;180.0}{turretbeam;-2.1;2;-4.4;1.0;0;0;0;1;0;180.0}{turretbeam;2.3;-0.65;-4.1;1.0;0;0;0;-1;0;180.0}","{Resignation;32;800;light-missile medium-missile special-missile;2.1;0.75;0;;;;;;;;;1;1}{Resignation;32;800;light-missile medium-missile special-missile;-2;0.75;0;;;;;;;;;1;1}",,,,,"pPiI"
"Kierkegaard.blank","Vessel","BOMBER",1300,1300,10000,10000,10000,20,20,20,60000,55000,40000,8000,8000,8000,8000,150,180,1,4,60,1000,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,25,"FALSE",1,200,120,0.1,"FALSE","FALSE",3000000,0,0,0,0,0,0,,,,,0,0,,,60,4500,,"upgrades/Overdrive:1;upgrades/Capacitors:1;upgrades/Reactors:1;upgrades/Armor:1;upgrades/Sensors:1;upgrades/Shield_Systems:1;upgrades/Passenger_Quarters:1;upgrades/Repair_Systems:1;upgrades/ECM_Systems:1",,"{;;800;light-missile medium-missile special-missile;2.1;0.75;0;;;;;;;;;1;1}{;;800;light-missile medium-missile special-missile;-2;0.75;0;;;;;;;;;1;1}",,,,,"pPiI"
"Pacifier","Vessel","BOMBER",640,640,5000,5000,5000,25,25,25,27000,19000,14000,4000,4000,4000,4000,150,180,1,4,40.42,800,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,250,"TRUE",1,200,120,0.1,"FALSE","FALSE",300000000,8,180,50,0,0,0,,,,,0,0,,,250,2500,"{armor06;;}{quadshield10;;}{add_spec_capacitor04;;}{capacitor09;;}{reactor07;;}{jump_drive;;}{hawkeye2;;}{ecm_package03;;}","mult_shady_moreupgrade;mult_shady_morethrust;mult_shady_moreshields;mult_shady_moregunrecharge;mult_shady_moreshieldrecharge;mult_shady_moreturning;upgrades/Overdrive:1;upgrades/Capacitors:1;upgrades/Reactors:1;upgrades/Armor:1;upgrades/Sensors:1;upgrades/Shield_Systems:1;upgrades/Passenger_Quarters:1;upgrades/Repair_Systems:1;upgrades/ECM_Systems:1",,"{HeavyIonBeam;;;Light Medium Heavy;1;-5.86;11.5;;;;;;;;;1;1}{HeavyIonBeam;;;Light Medium Heavy;-1;-5.86;11.5;;;;;;;;;1;1}{HeavyIonBeam;;;Light Medium Heavy;1;-8;11.5;;;;;;;;;1;1}{HeavyIonBeam;;;Light Medium Heavy;-1;-8;11.5;;;;;;;;;1;1}{MiniDriver;600;3;Light;.65;3.75;7;;;;;;;;;1;1}{MiniDriver;600;3;Light;-.65;3.75;7;;;;;;;;;1;1}{Hail;32;8;special-missile;4;-3.75;.2;;;;;;;;;1;1}{Hail;32;8;special-missile;-4;-3.75;.2;;;;;;;;;1;1}{torpedo;2;200;heavy-missile;-5.000000;-.9000000;-3.000000;;;;;;;;;1;1}{torpedo;2;200;heavy-missile;5.000000;-.9000000;-3.000000;;;;;;;;;1;1}{Dumbfire;16;16;light-missile medium-missile;3.000000;-.9000000;-1.000000;;;;;;;;;1;1}{Dumbfire;16;16;light-missile medium-missile;-3.000000;-.9000000;-1.000000;;;;;;;;;1;1}",,,,,"pPiI"
"Pacifier.blank","Vessel","BOMBER",486,486,5000,5000,5000,25,25,25,27000,19000,14000,4000,4000,4000,4000,150,180,1,4,40.42,800,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,25,"FALSE",1,200,120,0.1,"FALSE","FALSE",100000,0,0,0,0,0,0,,,,,0,0,,,1000,2500,,"upgrades/Overdrive:1;upgrades/Capacitors:1;upgrades/Reactors:1;upgrades/Armor:1;upgrades/Sensors:1;upgrades/Shield_Systems:1;upgrades/Passenger_Quarters:1;upgrades/Repair_Systems:1;upgrades/ECM_Systems:1",,"{;;3;Light Medium Heavy;1;-5.86;11.5;;;;;;;;;1;1}{;;3;Light Medium Heavy;-1;-5.86;11.5;;;;;;;;;1;1}{;;3;Light Medium Heavy;1;-8;11.5;;;;;;;;;1;1}{;;3;Light Medium Heavy;-1;-8;11.5;;;;;;;;;1;1}{;;3;Light;.65;3.75;7;;;;;;;;;1;1}{;;3;Light;-.65;3.75;7;;;;;;;;;1;1}{;;8;special-missile;4;-3.75;.2;;;;;;;;;1;1}{;;8;special-missile;-4;-3.75;.2;;;;;;;;;1;1}{;;200;heavy-missile;-5.000000;-.9000000;-3.000000;;;;;;;;;1;1}{;;200;heavy-missile;5.000000;-.9000000;-3.000000;;;;;;;;;1;1}{;;16;light-missile medium-missile;3.000000;-.9000000;-1.000000;;;;;;;;;1;1}{;;16;light-missile medium-missile;-3.000000;-.9000000;-1.000000;;;;;;;;;1;1}",,,,,"pPiI"
"Taizong","Vessel","BOMBER",240,240,4000,4000,4000,32,32,32,12000,12000,12000,12000,12000,12000,12000,150,180,3,0,19.17,1800,800,800,800,800,600,600,600,600,450,400,400,400,,,,,250,0,,360,1400,600,"TRUE",1,200,200,0.1,,"TRUE",300000000,12,180,49.46,0,0,0,,,,,,,,,50,1500,,"mult_shady_moreupgrade;mult_shady_morethrust;mult_shady_moreshields;mult_shady_moregunrecharge;mult_shady_moreshieldrecharge;mult_shady_moreturning;upgrades/Overdrive;upgrades/Capacitors:1;upgrades/Reactors:1;upgrades/Armor:1;upgrades/Sensors:1;upgrades/Shield_Systems:1;upgrades/Passenger_Quarters:1;upgrades/Repair_Systems:1;upgrades/ECM_Systems:1",,"{KtekBeam;;;Light Medium Heavy autotracking;-9;-.25;-.75;;;;;;;;;1;1}{KtekBeam;;;Light Medium Heavy autotracking;9;-.25;-.75;;;;;;;;;1;1}{Ktek;;;Light;-4.5;-.6;12.25;;;;;;;;;1;1}{Ktek;;;Light;4.5;-.6;12.25;;;;;;;;;1;1}{MiniGravThumper;8;200;special-missile;0;-0.5;0;;;;;;;;;1;1}",,,,,"pPiI"
